term,weeks_mentioned,active_weeks,partisan_score,cv,extreme_ratio,max_min_ratio,lean,avg_far-left,avg_center-left,avg_center,avg_center-right,avg_far-right
west,111,111,0.7531,0.7531,0.1405,9.24,balanced,0.00106,0.00488,0.00147,0.00514,0.00056
white,167,167,0.7342,0.7342,3.0329,7.85,extreme-both,0.01172,0.00334,0.00185,0.00347,0.01452
hit,120,120,0.7336,0.7336,0.0761,14.48,right,0.00064,0.00378,0.00407,0.00637,0.00044
ai,165,165,0.7319,0.7319,0.2466,13.36,left-lean,0.00131,0.01002,0.01747,0.00357,0.00635
reveals,139,139,0.731,0.731,0.612,11.71,right,0.00046,0.00199,0.00099,0.00537,0.00466
need,121,121,0.7134,0.7134,0.2921,64.23,left,0.00252,0.00414,0.00391,0.00079,6e-05
live,166,166,0.7031,0.7031,0.065,22.8,balanced,0.00109,0.00729,0.00675,0.00846,0.00037
president,170,170,0.6949,0.6949,1.9595,5.05,extreme-right,0.0089,0.00481,0.00428,0.00648,0.02162
bill,148,148,0.6665,0.6665,2.026,6.8,extreme-right,0.00846,0.00307,0.00232,0.00658,0.01579
dies,163,163,0.6639,0.6639,0.0996,19.65,right-lean,0.00217,0.00789,0.00844,0.01123,0.00057
china,170,170,0.6628,0.6628,0.6867,19.35,right,0.00063,0.00992,0.00456,0.00424,0.01222
so,162,162,0.6475,0.6475,0.7999,16.33,left,0.00653,0.00488,0.00459,0.0004,0.00136
south,163,163,0.6473,0.6473,0.1472,12.46,balanced,0.00249,0.00805,0.00456,0.00949,0.00076
set,167,167,0.6464,0.6464,0.1055,69.46,left,0.00208,0.00733,0.0074,0.00595,0.00011
california,160,160,0.6416,0.6416,0.6585,16.66,right,0.00058,0.00236,0.00581,0.00751,0.00975
free,169,169,0.6382,0.6382,0.1129,7.58,right-lean,0.00163,0.00866,0.00918,0.01238,0.00178
love,139,139,0.6263,0.6263,0.4869,3.05,left,0.0049,0.00426,0.00161,0.0042,0.0
judge,152,152,0.623,0.623,2.2109,5.4,extreme-both,0.01011,0.00203,0.00211,0.00539,0.01097
law,137,137,0.6214,0.6214,1.9587,5.12,extreme-right,0.0049,0.00174,0.00287,0.00244,0.00891
power,129,129,0.6193,0.6193,0.3418,37.24,left,0.00386,0.00486,0.0052,0.00165,0.00014
shooting,153,153,0.6083,0.6083,0.4118,5.12,right,0.00388,0.00261,0.00593,0.01335,0.00513
trump,170,170,0.5791,0.5791,2.1366,3.97,extreme-both,0.14175,0.04075,0.0357,0.05052,0.12954
season,169,169,0.5757,0.5757,0.1863,1.98,left,0.00715,0.01398,0.01416,0.01022,0.0
help,167,167,0.5676,0.5676,0.1568,19.16,left,0.00344,0.0084,0.00881,0.00768,0.00046
killed,168,168,0.559,0.559,0.2976,3.64,right,0.00366,0.00493,0.00638,0.01315,0.00362
million,170,170,0.559,0.559,0.2637,8.78,right,0.00155,0.00666,0.01362,0.0072,0.0057
fire,164,164,0.5354,0.5354,0.2863,3.84,right,0.00293,0.00469,0.00589,0.01126,0.00332
report,170,170,0.5344,0.5344,1.4681,4.89,extreme-right,0.01483,0.00564,0.01537,0.00468,0.02289
high,169,169,0.5323,0.5323,0.1722,5.78,right-lean,0.00204,0.00931,0.01181,0.01147,0.00357
attack,123,123,0.5277,0.5277,1.4664,5.0,extreme-right,0.00546,0.0032,0.00202,0.00538,0.01008
dead,154,154,0.5267,0.5267,0.5147,5.64,right,0.00165,0.00346,0.00431,0.00933,0.00715
watch,170,170,0.5198,0.5198,1.1184,3.3,right,0.00956,0.01146,0.01166,0.01367,0.03158
health,169,169,0.5118,0.5118,0.2093,14.29,left,0.0057,0.01024,0.01111,0.00959,0.00078
vs,147,147,0.5045,0.5045,0.3529,1.17,left,0.00874,0.00757,0.00836,0.00885,0.0
election,115,115,0.4812,0.4812,1.7029,3.69,extreme-both,0.01411,0.00608,0.00388,0.00675,0.01435
gaza,122,122,0.4761,0.4761,0.7842,4.28,left,0.01881,0.01332,0.00748,0.00878,0.00439
week,169,169,0.4726,0.4726,0.3427,18.97,left,0.01073,0.00969,0.01164,0.01179,0.00062
texas,158,158,0.4682,0.4682,1.2688,3.79,extreme-both,0.00752,0.0027,0.00223,0.00766,0.00847
open,119,119,0.4477,0.4477,0.2535,6.48,left,0.00326,0.00611,0.00538,0.0051,0.00094
game,169,169,0.4371,0.4371,0.2438,4.88,left-lean,0.00551,0.01046,0.01099,0.01038,0.00225
family,168,168,0.4369,0.4369,0.2765,3.9,right,0.00294,0.00676,0.00967,0.01144,0.00477
