domain,Include as News? (Y/N),Coding Notes,score,rounded_n_shares,rounded_n_accts,fb_score,mturk_score,budak_score,allsides_score,allsides_score_community,pew_score,news_fakenews_proj,news_googlenews,news_manual,news_tvnews_data,news_webshrinker,news_ribiero,news_n,news_is_news
wkyt.com,y,,0.2978,1300,700,,,,,,,1,,,1,1,1,3,1
pnj.com,y,,0.4635,3700,700,,,,,,,,,,1,1,1,2,1
kwch.com,y,,0.5774,1100,700,,,,,,,1,,,1,1,1,3,1
myfoxtampabay.com,y,,0.5092,1300,600,0.1475,,,,,,,,,,1,1,1,1
ca.news.yahoo.com,n,aggregator,0.4711,900,600,,,,,,,,1,,,1,1,1,1
housebeautiful.com,n,,0.3074,1500,600,,,,,,,,1,,,1,1,1,1
wcnc.com,y,,0.2999,900,600,,,,,,,,,,1,1,1,2,1
wtsp.com,y,,0.2656,1400,600,-0.0038,,,,,,,1,,,1,1,1,1
clickorlando.com,y,,0.2458,1200,600,,,,,,,,1,,,1,1,1,1
abcactionnews.com,y,,0.3208,900,600,,,,,,,1,,,,1,1,2,1
newson6.com,y,,0.4375,1200,600,,,,,,,,1,,,1,1,1,1
news-journalonline.com,y,,0.3095,2700,600,,,,,,,,,,1,1,1,2,1
bradenton.com,y,,0.3184,4100,600,,,,,,,,,,1,1,1,2,1
ynetnews.com,n,foreign source,0.2455,1200,600,0.3335,,,,,,,1,,,1,1,1,1
kdvr.com,y,,0.2269,900,600,0.0225,,,,,,,,,1,1,1,2,1
tbtim.es,n,,0.2559,1600,600,,,,,,,1,,,,0,1,1,1
baynews9.com,y,,0.3467,1100,600,0.0586,,,,,,1,,,,1,1,2,1
gatorzone.com,n,,0.5431,1200,600,,,,,,,,,,,1,1,1,1
news360.com,n,,0.3012,3400,600,,,,,,,,,,,1,1,1,1
mmafighting.com,n,,0.3053,1700,600,,,,,,,,1,,,1,0,1,1
wfaa.com,y,,0.2697,600,600,0.1198,,,,,,,,,1,1,1,2,1
fox5vegas.com,y,,0.3033,1500,600,,,,,,,,,,1,1,1,2,1
addicted2success.com,n,,0.2685,1100,600,,,,,,,,0,,,1,1,1,1
nationalinterest.org,y,,0.2148,1400,600,,0.25,,0,0.5,,,1,,,1,1,1,1
blog.smiley360.com,n,,0.2428,2000,600,,,,,,,,0,,,1,1,1,1
thesmokinggun.com,y,,0.2138,700,600,,,,,,,,1,,,1,1,1,1
homes.yahoo.com,n,,0.3314,1100,600,,,,,,,,,,,1,1,1,1
kutv.com,y,,0.4367,1700,600,,,,,,,,,,1,1,1,2,1
wbrz.com,y,,0.4907,1700,500,,,,,,,,,,1,1,1,2,1
lex18.com,y,,0.2035,1300,500,,,,,,,,,,1,1,1,2,1
on.omaha.com,y,,0.3886,1400,500,,,,,,,,,,,1,1,1,1
khou.com,y,,0.2737,600,500,0.1182,,,,,,,,,1,1,1,2,1
keloland.com,y,,0.492,1100,500,,,,,,,1,,,1,0,1,2,1
torontosun.com,y,,0.2643,600,500,,,,,,,,1,,,1,1,1,1
fox10phoenix.com,y,,0.5052,1100,500,0.2386,,,,,,,,,1,1,1,2,1
kctv5.com,y,,0.4427,800,500,-0.2071,,,,,,,,,1,1,1,2,1
longisland.news12.com,y,,0.2261,2900,500,,,,,,,,1,,,1,1,1,1
unionleader.com,y,,0.3961,1700,500,,,,,,,,,,1,1,1,2,1
13wham.com,y,,0.2303,2700,500,,,,,,,,,,1,1,1,2,1
squidoo.com,n,,0.2987,1300,500,,,,,,,,,,,1,1,1,1
autos.yahoo.com,n,,0.282,700,500,,,,,,,,,,,1,1,1,1
wvmetronews.com,y,,0.2098,1700,500,,,,,,,1,,,,1,1,2,1
city-journal.org,y,,0.5366,900,500,,,,,,,,1,,,1,1,1,1
whec.com,y,,0.25,1000,500,,,,,,,,,,1,1,1,2,1
wbtv.com,y,,0.2914,700,500,,,,,,,,,,1,1,1,2,1
dailyrecord.com,y,,0.2389,2200,500,,,,,,,,,,1,1,1,2,1
wthr.com,y,,0.3002,600,500,,0.1666666667,,,,,,,,1,1,1,2,1
whotv.com,y,,0.4526,1200,500,,,,,,,,,,1,1,1,2,1
nbcdfw.com,y,,0.3781,500,500,0.1204,,,,,,1,,,1,0,1,2,1
tcpalm.com,y,,0.3656,5600,500,,,,,,,,,,1,1,1,2,1
floridatoday.com,y,,0.3232,1000,500,,,,,,,1,,,1,0,1,2,1
1011now.com,y,,0.5387,1700,500,,,,,,,,1,,,1,1,1,1
koco.com,y,,0.3319,700,500,0.1027,,,,,,1,,,1,1,1,3,1
ydr.com,y,,0.2475,1900,500,,,,,,,1,,,1,1,1,3,1
katc.com,y,,0.4374,1300,500,,,,,,,1,,,1,0,1,2,1
nixle.com,n,,0.228,1100,400,,,,,,,,0,,,1,1,1,1
floridapolitics.com,y,,0.2725,1200,400,,,,,,,1,,,,1,1,2,1
ktar.com,y,,0.2322,700,400,,,,,,,,1,,,1,1,1,1
snsanalytics.com,n,,0.2308,500,400,,,,,,,,0,,,1,1,1,1
kwwl.com,y,,0.3384,900,400,,,,,,,1,,,1,1,1,3,1
cbs12.com,y,,0.2744,1200,400,,,,,,,,,,1,1,1,2,1
myfox8.com,y,,0.3968,500,400,-0.021,,,,,,1,,,1,1,1,3,1
okcfox.com,y,,0.257,600,400,0.1296,,,,,,,,,1,1,1,2,1
theledger.com,y,,0.3499,1400,400,,,,,,,,,,1,1,1,2,1
roundyearfun.com,n,,0.5562,500,400,,,,,,,,0,,,1,1,1,1
wafb.com,y,,0.2714,1100,400,,,,,,,,,,1,1,1,2,1
nbc-2.com,y,,0.3623,1200,400,,,,,,,,,,1,1,1,2,1
fox13now.com,y,,0.2729,700,400,0.0538,,,,,,1,,,1,1,1,3,1
bgdailynews.com,y,,0.3749,1100,400,,,,-0.5,0,,,,,1,1,1,2,1
thenewsstar.com,y,,0.3706,1000,400,,,,,,,,,,1,1,1,2,1
ksn.com,y,,0.5805,600,400,,,,,,,,,,1,1,1,2,1
shreveporttimes.com,y,,0.3265,900,400,,,,,,,,,,1,1,1,2,1
spectator.co.uk,n,foreign,0.285,400,400,,-0.1666666667,,,,,,1,,,1,1,1,1
wibw.com,y,,0.5697,700,400,,,,,,,,,,1,1,1,2,1
coca-colacompany.com,n,,0.2768,500,400,,,,,,,,0,,,1,1,1,1
theadvertiser.com,y,,0.3796,2400,400,,,,,,,,,,1,1,1,2,1
ktul.com,y,,0.4381,600,400,,,,,,,,,,1,1,1,2,1
siouxcityjournal.com,y,,0.5127,600,400,,,,,,,,,,1,1,1,2,1
heraldsun.com.au,n,foreign,0.2707,400,400,,,,,,,,1,,,1,1,1,1
wlky.com,y,,0.2107,2200,400,,,,,,,1,,,1,1,1,3,1
wealthmanagement.com,n,,0.3236,1000,400,,,,,,,,,,,1,1,1,1
kshb.com,y,,0.3801,500,300,,,,,,,,1,,,1,1,1,1
trib.com,y,,0.3628,1300,300,,,,,,,,,,1,1,1,2,1
ksfy.com,y,,0.4237,1000,300,,,,,,,,,,1,1,1,2,1
armytimes.com,y,,0.4144,400,300,0.4171,,,,,,,,,1,0,1,1,1
onwardstate.com,y,,0.265,600,300,,,,,,,1,,,,0,0,1,1
saintpetersblog.com,n,,0.3803,500,300,,,,,,,,0,,,1,1,1,1
the-american-interest.com,n,stopped publishing in mid 2020,0.242,600,300,,,,,,,,1,,,1,1,1,1
ktvb.com,y,,0.5026,700,300,,,,,,,,,,1,1,1,2,1
nwfdailynews.com,y,,0.5121,1400,300,,,,,,,,,,1,1,1,2,1
click2houston.com,y,,0.2227,400,300,0.1329,,,,,,,,,1,1,1,2,1
qctimes.com,y,,0.2881,800,300,,,,,,,1,,,1,1,1,3,1
blabbermouth.net,y,,0.2207,1300,300,,,,,,,,1,,,1,1,1,1
wsoctv.com,y,,0.3071,600,300,,,,,,,,,,1,1,1,2,1
on.wfmy.com,n,,0.3344,2000,300,,,,,,,,,,,1,1,1,1
kcra.com,y,,0.4702,400,300,,,,,,,1,,,1,1,1,3,1
local21news.com,y,,0.3041,600,300,,,,,,,,,,1,1,1,2,1
mittromney.com,n,,0.4565,300,300,,,,,,,,,,,1,1,1,1
kmbc.com,y,,0.4693,500,300,,,,,,,1,,,1,1,1,3,1
realestate.yahoo.com,n,,0.3167,500,300,,,,,,,,,,,1,1,1,1
fox43.com,y,,0.4509,700,300,,,,,,,,,,1,1,1,2,1
fox4kc.com,y,,0.3727,400,300,0.0444,,,,,,,,,1,1,1,2,1
oklahoman.com,y,,0.533,1100,300,,,,,,,,0,,,1,1,1,1
wcfcourier.com,y,,0.2743,700,300,,,,,,,,,,1,1,1,2,1
foxla.com,y,,0.2871,400,300,,,,,,,,,,1,1,1,2,1
algemeiner.com,y,,0.4911,1000,300,0.4456,,,,,,1,,,,1,1,2,1
eastvalleytribune.com,y,,0.3395,400,300,,,,,,,,,,1,1,1,2,1
on.whas11.com,n,,0.2265,600,300,,,,,,,,,,,1,1,1,1
popchips.com,n,,0.2758,500,300,,,,,,,,,,,1,1,1,1
wgal.com,y,,0.3454,700,300,,,,,,,1,,,1,1,1,3,1
standard.net,y,,0.4708,2700,300,,,,,,,,,,1,1,1,2,1
kvoa.com,y,,0.2186,800,300,,,,,,,,,,1,1,1,2,1
facebook.upickem.net,n,,0.3011,400,300,,,,,,,,,,,1,1,1,1
autonews.com,y,,0.3198,700,300,,,,,,,1,,,,0,1,1,1
leadershipfreak.wordpress.com,n,,0.348,600,300,,,,,,,,,,,1,1,1,1
anatweet.com,n,,0.3322,500,300,,,,,,,,0,,,1,1,1,1
broadcastify.com,n,,0.2935,800,300,,,,,,,,0,,,1,1,1,1
anonews.co,y,,0.5265,400,300,,,,,,,1,,,,1,1,2,1
fox8live.com,y,,0.2408,500,300,,,,,,,,,,1,1,1,2,1
wnep.com,y,,0.2215,400,300,-0.0328,,,,,,,,,1,1,1,2,1
timescolonist.com,n,,0.2173,300,300,,,,,,,,1,,,1,1,1,1
idropnews.com,y,,0.2737,500,300,,,,,,,1,,,,0,1,1,1
fox59.com,y,,0.4573,300,300,0.0195,0,,,,,,,,1,1,1,2,1
ocala.com,y,,0.248,600,300,,,,,,,,,,1,1,1,2,1
uticaod.com,y,,0.2141,1700,300,,,,,,,,,,1,1,1,2,1
fox6now.com,y,,0.2291,300,300,-0.0939,0.1666666667,,,,,,,,1,1,1,2,1
simplemost.com,n,,0.3287,300,300,,,,,,,,1,,,1,1,1,1
blogs.spectator.co.uk,n,foreign,0.325,300,300,,0,,,,,,1,,,1,1,1,1
mysuncoast.com,y,,0.4124,600,300,,,,,,,1,,,,1,1,2,1
iowastatedaily.com,y,,0.2598,700,300,,,,,,,1,,,1,0,1,2,1
fox23.com,y,,0.4381,400,300,,,,,,,,,,1,1,1,2,1
policeone.com,n,,0.5128,400,300,0.5063,,,,,,,1,,,1,1,1,1
newslocker.com,n,,0.2319,500,300,,,,,,,,,,,1,1,1,1
petition2congress.com,n,,0.3239,400,300,,,,,,,,,,,1,1,1,1
dailylocal.com,y,,0.2307,600,300,,,,,,,,,,1,1,1,2,1
4-traders.com,n,,0.2762,400,300,,,,,,,1,,,,0,1,1,1
wlwt.com,y,,0.3658,1700,200,,,,,,,,,,1,1,0,2,1
wkrn.com,y,,0.3045,300,200,,,,,,,,,,1,1,1,2,1
krdo.com,y,,0.414,500,200,,,,,,,,1,,,1,1,1,1
actionnewsjax.com,y,,0.3692,700,200,,,,,,,,,,1,1,1,2,1
navytimes.com,y,,0.3479,300,200,0.3365,,,,,,,,,1,0,1,1,1
koaa.com,y,,0.3404,1200,200,,,,,,,,,,1,1,1,2,1
nreionline.com,n,,0.2608,800,200,,,,,,,,,,,1,1,1,1
wwaytv3.com,y,,0.4484,500,200,,,,,,,,,,1,1,1,2,1
winknews.com,y,,0.5477,400,200,,,,,,,,,,1,1,1,2,1
dailystar.co.uk,n,foreign,0.4764,300,200,,0,,,,,,1,,,1,1,1,1
globegazette.com,y,,0.3357,300,200,,,,,,,,,,1,1,1,2,1
marinecorpstimes.com,y,,0.409,300,200,0.5372,,,,,,,,,1,0,1,1,1
fox32chicago.com,y,,0.3727,300,200,,,,,,,,,,1,1,1,2,1
industryweek.com,y,,0.2071,400,200,,,,,,,,,,,1,1,1,1
49ers.com,n,,0.2392,300,200,,,,,,,,1,,,1,0,1,1
rapidcityjournal.com,y,,0.2475,400,200,,,,,,,,,,1,1,1,2,1
wpbf.com,y,,0.3387,400,200,,,,,,,1,,,1,1,1,3,1
blogs.desmoinesregister.com,y,,0.3154,800,200,,,,,,,,,,,1,1,1,1
kjrh.com,y,,0.4273,600,200,,,,,,,,,,1,1,1,2,1
fox19.com,y,,0.4769,300,200,,,,,,,,1,,,1,1,1,1
theindependent.com,y,,0.5022,600,200,,,,,,,,,,1,1,1,2,1
poconorecord.com,y,,0.2132,800,200,,,,,,,,,,1,1,1,2,1
manageflitter.com,n,,0.2925,400,200,,,,,,,,,,,1,1,1,1
staugustine.com,y,,0.361,300,200,,,,,,,,,,1,1,1,2,1
wect.com,y,,0.3209,700,200,,,,,,,,,,1,1,1,2,1
dailynebraskan.com,y,,0.2403,400,200,,,,,,,,,,1,0,1,1,1
liftbump.com,y,,0.4774,300,200,,,,,,,,,,,1,1,1,1
citizensvoice.com,y,,0.2122,600,200,,,,,,,,,,1,1,1,2,1
cumberlink.com,y,,0.2777,600,200,,,,,,,,,,1,1,1,2,1
