date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230102,far-left,76,0.0152,75,0.015,5000
20230102,center-left,59,0.0118,59,0.0118,5000
20230102,center,66,0.0132,66,0.0132,5000
20230102,center-right,170,0.034,167,0.0334,5000
20230102,far-right,89,0.0178,89,0.0178,5000
20230109,far-left,67,0.0134,66,0.0132,5000
20230109,center-left,85,0.017,84,0.0168,5000
20230109,center,71,0.0142,70,0.014,5000
20230109,center-right,125,0.025,121,0.0242,5000
20230109,far-right,83,0.0166,83,0.0166,5000
20230116,far-left,113,0.0226,111,0.0222,5000
20230116,center-left,101,0.0202,100,0.02,5000
20230116,center,90,0.018,90,0.018,5000
20230116,center-right,148,0.0296,146,0.0292,5000
20230116,far-right,106,0.0212,105,0.021,5000
20230123,far-left,61,0.0122,57,0.0114,5000
20230123,center-left,62,0.0124,62,0.0124,5000
20230123,center,85,0.017,85,0.017,5000
20230123,center-right,146,0.0292,145,0.029,5000
20230123,far-right,111,0.0222,111,0.0222,5000
20230130,far-left,75,0.015,74,0.0148,5000
20230130,center-left,81,0.0162,81,0.0162,5000
20230130,center,85,0.017,85,0.017,5000
20230130,center-right,169,0.0338,166,0.0332,5000
20230130,far-right,119,0.0238,117,0.0234,5000
20230206,far-left,71,0.0142,69,0.0138,5000
20230206,center-left,64,0.0128,63,0.0126,5000
20230206,center,85,0.017,85,0.017,5000
20230206,center-right,143,0.0286,142,0.0284,5000
20230206,far-right,90,0.018,88,0.0176,5000
20230213,far-left,79,0.0158,76,0.0152,5000
20230213,center-left,100,0.02,100,0.02,5000
20230213,center,111,0.0222,110,0.022,5000
20230213,center-right,136,0.0272,134,0.0268,5000
20230213,far-right,97,0.0194,95,0.019,5000
20230220,far-left,77,0.0154,76,0.0152,5000
20230220,center-left,73,0.0146,73,0.0146,5000
20230220,center,69,0.0138,68,0.0136,5000
20230220,center-right,148,0.0296,146,0.0292,5000
20230220,far-right,100,0.02,99,0.0198,5000
20230227,far-left,70,0.014,69,0.0138,5000
20230227,center-left,75,0.015,75,0.015,5000
20230227,center,61,0.0122,60,0.012,5000
20230227,center-right,156,0.0312,156,0.0312,5000
20230227,far-right,94,0.0188,94,0.0188,5000
20230306,far-left,82,0.0164,81,0.0162,5000
20230306,center-left,72,0.0144,71,0.0142,5000
20230306,center,67,0.0134,67,0.0134,5000
20230306,center-right,164,0.0328,161,0.0322,5000
20230306,far-right,86,0.0172,86,0.0172,5000
20230313,far-left,84,0.0168,84,0.0168,5000
20230313,center-left,65,0.013,63,0.0126,5000
20230313,center,79,0.0158,79,0.0158,5000
20230313,center-right,142,0.0284,139,0.0278,5000
20230313,far-right,81,0.0162,80,0.016,5000
20230320,far-left,83,0.0166,83,0.0166,5000
20230320,center-left,70,0.014,69,0.0138,5000
20230320,center,56,0.0112,54,0.0108,5000
20230320,center-right,153,0.0306,150,0.03,5000
20230320,far-right,95,0.019,95,0.019,5000
20230327,far-left,71,0.0142,69,0.0138,5000
20230327,center-left,70,0.014,68,0.0136,5000
20230327,center,74,0.0148,74,0.0148,5000
20230327,center-right,137,0.0274,135,0.027,5000
20230327,far-right,63,0.0126,63,0.0126,5000
20230403,far-left,75,0.015,74,0.0148,5000
20230403,center-left,77,0.0154,77,0.0154,5000
20230403,center,63,0.0126,63,0.0126,5000
20230403,center-right,133,0.0266,132,0.0264,5000
20230403,far-right,79,0.0158,79,0.0158,5000
20230410,far-left,89,0.0178,88,0.0176,5000
20230410,center-left,71,0.0142,71,0.0142,5000
20230410,center,73,0.0146,73,0.0146,5000
20230410,center-right,148,0.0296,147,0.0294,5000
20230410,far-right,84,0.0168,84,0.0168,5000
20230417,far-left,95,0.019,94,0.0188,5000
20230417,center-left,90,0.018,90,0.018,5000
20230417,center,69,0.0138,68,0.0136,5000
20230417,center-right,171,0.0342,167,0.0334,5000
20230417,far-right,105,0.021,104,0.0208,5000
20230424,far-left,75,0.015,75,0.015,5000
20230424,center-left,103,0.0206,102,0.0204,5000
20230424,center,85,0.017,85,0.017,5000
20230424,center-right,157,0.0314,153,0.0306,5000
20230424,far-right,114,0.0228,113,0.0226,5000
20230501,far-left,68,0.0136,67,0.0134,5000
20230501,center-left,69,0.0138,69,0.0138,5000
20230501,center,69,0.0138,69,0.0138,5000
20230501,center-right,163,0.0326,162,0.0324,5000
20230501,far-right,102,0.0204,100,0.02,5000
20230508,far-left,87,0.0174,82,0.0164,5000
20230508,center-left,60,0.012,60,0.012,5000
20230508,center,75,0.015,74,0.0148,5000
20230508,center-right,161,0.0322,159,0.0318,5000
20230508,far-right,92,0.0184,88,0.0176,5000
20230515,far-left,99,0.0198,98,0.0196,5000
20230515,center-left,100,0.02,100,0.02,5000
20230515,center,92,0.0184,92,0.0184,5000
20230515,center-right,167,0.0334,165,0.033,5000
20230515,far-right,126,0.0252,122,0.0244,5000
20230522,far-left,79,0.0158,79,0.0158,5000
20230522,center-left,84,0.0168,83,0.0166,5000
20230522,center,109,0.0218,108,0.0216,5000
20230522,center-right,183,0.0366,183,0.0366,5000
20230522,far-right,119,0.0238,116,0.0232,5000
20230529,far-left,100,0.02,99,0.0198,5000
20230529,center-left,113,0.0226,110,0.022,5000
20230529,center,102,0.0204,101,0.0202,5000
20230529,center-right,163,0.0326,159,0.0318,5000
20230529,far-right,97,0.0194,96,0.0192,5000
