date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230102,far-left,64,0.0128,64,0.0128,5000
20230102,center-left,85,0.017,85,0.017,5000
20230102,center,42,0.0084,42,0.0084,5000
20230102,center-right,61,0.0122,60,0.012,5000
20230102,far-right,88,0.0176,88,0.0176,5000
20230109,far-left,70,0.014,69,0.0138,5000
20230109,center-left,50,0.01,50,0.01,5000
20230109,center,42,0.0084,42,0.0084,5000
20230109,center-right,63,0.0126,63,0.0126,5000
20230109,far-right,85,0.017,85,0.017,5000
20230116,far-left,75,0.015,75,0.015,5000
20230116,center-left,50,0.01,50,0.01,5000
20230116,center,43,0.0086,43,0.0086,5000
20230116,center-right,61,0.0122,61,0.0122,5000
20230116,far-right,99,0.0198,99,0.0198,5000
20230123,far-left,73,0.0146,73,0.0146,5000
20230123,center-left,58,0.0116,57,0.0114,5000
20230123,center,61,0.0122,61,0.0122,5000
20230123,center-right,58,0.0116,58,0.0116,5000
20230123,far-right,105,0.021,104,0.0208,5000
20230130,far-left,56,0.0112,56,0.0112,5000
20230130,center-left,58,0.0116,58,0.0116,5000
20230130,center,44,0.0088,44,0.0088,5000
20230130,center-right,62,0.0124,62,0.0124,5000
20230130,far-right,96,0.0192,95,0.019,5000
20230206,far-left,86,0.0172,85,0.017,5000
20230206,center-left,60,0.012,59,0.0118,5000
20230206,center,51,0.0102,48,0.0096,5000
20230206,center-right,47,0.0094,47,0.0094,5000
20230206,far-right,125,0.025,124,0.0248,5000
20230213,far-left,68,0.0136,68,0.0136,5000
20230213,center-left,50,0.01,50,0.01,5000
20230213,center,47,0.0094,47,0.0094,5000
20230213,center-right,55,0.011,55,0.011,5000
20230213,far-right,116,0.0232,116,0.0232,5000
20230220,far-left,60,0.012,60,0.012,5000
20230220,center-left,48,0.0096,48,0.0096,5000
20230220,center,0,0,0,0,0
20230220,center-right,58,0.0116,58,0.0116,5000
20230220,far-right,110,0.022,109,0.0218,5000
20230227,far-left,75,0.015,75,0.015,5000
20230227,center-left,61,0.0122,61,0.0122,5000
20230227,center,37,0.0074,37,0.0074,5000
20230227,center-right,70,0.014,70,0.014,5000
20230227,far-right,117,0.0234,117,0.0234,5000
20230306,far-left,72,0.0144,72,0.0144,5000
20230306,center-left,50,0.01,50,0.01,5000
20230306,center,44,0.0088,44,0.0088,5000
20230306,center-right,83,0.0166,83,0.0166,5000
20230306,far-right,102,0.0204,102,0.0204,5000
20230313,far-left,62,0.0124,62,0.0124,5000
20230313,center-left,63,0.0126,63,0.0126,5000
20230313,center,49,0.0098,49,0.0098,5000
20230313,center-right,65,0.013,65,0.013,5000
20230313,far-right,119,0.0238,119,0.0238,5000
20230320,far-left,55,0.011,55,0.011,5000
20230320,center-left,47,0.0094,47,0.0094,5000
20230320,center,42,0.0084,42,0.0084,5000
20230320,center-right,68,0.0136,66,0.0132,5000
20230320,far-right,102,0.0204,101,0.0202,5000
20230327,far-left,62,0.0124,62,0.0124,5000
20230327,center-left,44,0.0088,44,0.0088,5000
20230327,center,41,0.0082,40,0.008,5000
20230327,center-right,66,0.0132,66,0.0132,5000
20230327,far-right,109,0.0218,109,0.0218,5000
20230403,far-left,53,0.0106,53,0.0106,5000
20230403,center-left,37,0.0074,37,0.0074,5000
20230403,center,36,0.0072,36,0.0072,5000
20230403,center-right,64,0.0128,64,0.0128,5000
20230403,far-right,102,0.0204,102,0.0204,5000
20230410,far-left,53,0.0106,53,0.0106,5000
20230410,center-left,48,0.0096,47,0.0094,5000
20230410,center,39,0.0078,39,0.0078,5000
20230410,center-right,65,0.013,65,0.013,5000
20230410,far-right,98,0.0196,98,0.0196,5000
20230417,far-left,54,0.0108,54,0.0108,5000
20230417,center-left,58,0.0116,58,0.0116,5000
20230417,center,45,0.009,45,0.009,5000
20230417,center-right,66,0.0132,66,0.0132,5000
20230417,far-right,128,0.0256,126,0.0252,5000
20230424,far-left,74,0.0148,74,0.0148,5000
20230424,center-left,60,0.012,60,0.012,5000
20230424,center,50,0.01,50,0.01,5000
20230424,center-right,67,0.0134,67,0.0134,5000
20230424,far-right,108,0.0216,107,0.0214,5000
20230501,far-left,44,0.0088,44,0.0088,5000
20230501,center-left,61,0.0122,61,0.0122,5000
20230501,center,38,0.0076,38,0.0076,5000
20230501,center-right,86,0.0172,86,0.0172,5000
20230501,far-right,111,0.0222,109,0.0218,5000
20230508,far-left,53,0.0106,53,0.0106,5000
20230508,center-left,45,0.009,45,0.009,5000
20230508,center,0,0,0,0,0
20230508,center-right,48,0.0096,48,0.0096,5000
20230508,far-right,110,0.022,110,0.022,5000
20230515,far-left,61,0.0122,60,0.012,5000
20230515,center-left,47,0.0094,47,0.0094,5000
20230515,center,43,0.0086,43,0.0086,5000
20230515,center-right,63,0.0126,63,0.0126,5000
20230515,far-right,117,0.0234,117,0.0234,5000
20230522,far-left,59,0.0118,59,0.0118,5000
20230522,center-left,52,0.0104,52,0.0104,5000
20230522,center,41,0.0082,41,0.0082,5000
20230522,center-right,53,0.0106,53,0.0106,5000
20230522,far-right,109,0.0218,108,0.0216,5000
20230529,far-left,56,0.0112,56,0.0112,5000
20230529,center-left,49,0.0098,49,0.0098,5000
20230529,center,38,0.0076,38,0.0076,5000
20230529,center-right,61,0.0122,61,0.0122,5000
20230529,far-right,101,0.0202,100,0.02,5000
20230605,far-left,60,0.012,60,0.012,5000
20230605,center-left,55,0.011,53,0.0106,5000
20230605,center,43,0.0086,43,0.0086,5000
20230605,center-right,63,0.0126,63,0.0126,5000
20230605,far-right,109,0.0218,109,0.0218,5000
20230612,far-left,66,0.0132,65,0.013,5000
20230612,center-left,49,0.0098,49,0.0098,5000
20230612,center,47,0.0094,47,0.0094,5000
20230612,center-right,72,0.0144,72,0.0144,5000
20230612,far-right,116,0.0232,115,0.023,5000
20230619,far-left,69,0.0138,69,0.0138,5000
20230619,center-left,47,0.0094,47,0.0094,5000
20230619,center,0,0,0,0,0
20230619,center-right,71,0.0142,71,0.0142,5000
20230619,far-right,107,0.0214,107,0.0214,5000
20230626,far-left,50,0.01,50,0.01,5000
20230626,center-left,31,0.0062,31,0.0062,5000
20230626,center,43,0.0086,43,0.0086,5000
20230626,center-right,68,0.0136,67,0.0134,5000
20230626,far-right,114,0.0228,113,0.0226,5000
20230703,far-left,61,0.0122,61,0.0122,5000
20230703,center-left,51,0.0102,50,0.01,5000
20230703,center,56,0.0112,56,0.0112,5000
20230703,center-right,63,0.0126,62,0.0124,5000
20230703,far-right,94,0.0188,94,0.0188,5000
20230710,far-left,71,0.0142,71,0.0142,5000
20230710,center-left,51,0.0102,51,0.0102,5000
20230710,center,40,0.008,39,0.0078,5000
20230710,center-right,55,0.011,55,0.011,5000
20230710,far-right,100,0.02,100,0.02,5000
20230717,far-left,54,0.0108,54,0.0108,5000
20230717,center-left,47,0.0094,46,0.0092,5000
20230717,center,45,0.009,45,0.009,5000
20230717,center-right,75,0.015,75,0.015,5000
20230717,far-right,115,0.023,115,0.023,5000
20230724,far-left,59,0.0118,58,0.0116,5000
20230724,center-left,50,0.01,50,0.01,5000
20230724,center,52,0.0104,51,0.0102,5000
20230724,center-right,64,0.0128,64,0.0128,5000
20230724,far-right,106,0.0212,106,0.0212,5000
20230731,far-left,60,0.012,60,0.012,5000
20230731,center-left,52,0.0104,51,0.0102,5000
20230731,center,65,0.013,65,0.013,5000
20230731,center-right,83,0.0166,83,0.0166,5000
20230731,far-right,69,0.0138,69,0.0138,5000
20230807,far-left,46,0.0092,46,0.0092,5000
20230807,center-left,67,0.0134,67,0.0134,5000
20230807,center,78,0.0156,77,0.0154,5000
20230807,center-right,88,0.0176,88,0.0176,5000
20230807,far-right,67,0.0134,67,0.0134,5000
20230814,far-left,64,0.0128,64,0.0128,5000
20230814,center-left,55,0.011,54,0.0108,5000
20230814,center,37,0.0074,37,0.0074,5000
20230814,center-right,64,0.0128,64,0.0128,5000
20230814,far-right,82,0.0164,81,0.0162,5000
20230821,far-left,60,0.012,60,0.012,5000
20230821,center-left,57,0.0114,57,0.0114,5000
20230821,center,45,0.009,45,0.009,5000
20230821,center-right,75,0.015,75,0.015,5000
20230821,far-right,91,0.0182,91,0.0182,5000
20230828,far-left,44,0.0088,44,0.0088,5000
20230828,center-left,49,0.0098,48,0.0096,5000
20230828,center,55,0.011,54,0.0108,5000
20230828,center-right,101,0.0202,101,0.0202,5000
20230828,far-right,106,0.0212,106,0.0212,5000
20230904,far-left,55,0.011,55,0.011,5000
20230904,center-left,58,0.0116,58,0.0116,5000
20230904,center,61,0.0122,61,0.0122,5000
20230904,center-right,85,0.017,85,0.017,5000
20230904,far-right,112,0.0224,112,0.0224,5000
20230911,far-left,71,0.0142,71,0.0142,5000
20230911,center-left,54,0.0108,54,0.0108,5000
20230911,center,52,0.0104,50,0.01,5000
20230911,center-right,61,0.0122,61,0.0122,5000
20230911,far-right,104,0.0208,104,0.0208,5000
20230918,far-left,63,0.0126,63,0.0126,5000
20230918,center-left,59,0.0118,59,0.0118,5000
20230918,center,51,0.0102,50,0.01,5000
20230918,center-right,76,0.0152,76,0.0152,5000
20230918,far-right,110,0.022,110,0.022,5000
20230925,far-left,79,0.0158,79,0.0158,5000
20230925,center-left,65,0.013,65,0.013,5000
20230925,center,43,0.0086,43,0.0086,5000
20230925,center-right,86,0.0172,86,0.0172,5000
20230925,far-right,129,0.0258,129,0.0258,5000
20231002,far-left,80,0.016,80,0.016,5000
20231002,center-left,64,0.0128,64,0.0128,5000
20231002,center,61,0.0122,59,0.0118,5000
20231002,center-right,80,0.016,80,0.016,5000
20231002,far-right,115,0.023,115,0.023,5000
20231009,far-left,70,0.014,70,0.014,5000
20231009,center-left,65,0.013,64,0.0128,5000
20231009,center,46,0.0092,46,0.0092,5000
20231009,center-right,87,0.0174,87,0.0174,5000
20231009,far-right,118,0.0236,118,0.0236,5000
20231016,far-left,81,0.0162,80,0.016,5000
20231016,center-left,55,0.011,55,0.011,5000
20231016,center,54,0.0108,54,0.0108,5000
20231016,center-right,64,0.0128,64,0.0128,5000
20231016,far-right,97,0.0194,97,0.0194,5000
20231023,far-left,83,0.0166,83,0.0166,5000
20231023,center-left,67,0.0134,67,0.0134,5000
20231023,center,71,0.0142,71,0.0142,5000
20231023,center-right,65,0.013,65,0.013,5000
20231023,far-right,118,0.0236,118,0.0236,5000
20231030,far-left,85,0.017,85,0.017,5000
20231030,center-left,65,0.013,65,0.013,5000
20231030,center,54,0.0108,54,0.0108,5000
20231030,center-right,80,0.016,80,0.016,5000
20231030,far-right,123,0.0246,123,0.0246,5000
20231106,far-left,62,0.0124,62,0.0124,5000
20231106,center-left,67,0.0134,67,0.0134,5000
