date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230605,far-left,318,0.0636,309,0.0618,5000
20230605,center-left,334,0.0668,329,0.0658,5000
20230605,center,307,0.0614,301,0.0602,5000
20230605,center-right,248,0.0496,245,0.049,5000
20230605,far-right,240,0.048,234,0.0468,5000
20230612,far-left,339,0.0678,332,0.0664,5000
20230612,center-left,318,0.0636,310,0.062,5000
20230612,center,300,0.06,295,0.059,5000
20230612,center-right,264,0.0528,260,0.052,5000
20230612,far-right,203,0.0406,198,0.0396,5000
20230619,far-left,343,0.0686,334,0.0668,5000
20230619,center-left,288,0.0576,283,0.0566,5000
20230619,center,285,0.057,279,0.0558,5000
20230619,center-right,265,0.053,265,0.053,5000
20230619,far-right,178,0.0356,176,0.0352,5000
20230626,far-left,374,0.0748,363,0.0726,5000
20230626,center-left,302,0.0604,300,0.06,5000
20230626,center,302,0.0604,294,0.0588,5000
20230626,center-right,264,0.0528,260,0.052,5000
20230626,far-right,198,0.0396,197,0.0394,5000
20230703,far-left,318,0.0636,314,0.0628,5000
20230703,center-left,287,0.0574,279,0.0558,5000
20230703,center,255,0.051,253,0.0506,5000
20230703,center-right,312,0.0624,305,0.061,5000
20230703,far-right,202,0.0404,197,0.0394,5000
20230710,far-left,397,0.0794,385,0.077,5000
20230710,center-left,293,0.0586,289,0.0578,5000
20230710,center,343,0.0686,335,0.067,5000
20230710,center-right,331,0.0662,325,0.065,5000
20230710,far-right,221,0.0442,216,0.0432,5000
20230717,far-left,425,0.085,410,0.082,5000
20230717,center-left,316,0.0632,312,0.0624,5000
20230717,center,319,0.0638,313,0.0626,5000
20230717,center-right,272,0.0544,268,0.0536,5000
20230717,far-right,223,0.0446,218,0.0436,5000
20230724,far-left,384,0.0768,369,0.0738,5000
20230724,center-left,273,0.0546,270,0.054,5000
20230724,center,317,0.0634,311,0.0622,5000
20230724,center-right,260,0.052,253,0.0506,5000
20230724,far-right,251,0.0502,249,0.0498,5000
20230731,far-left,406,0.0812,390,0.078,5000
20230731,center-left,284,0.0568,278,0.0556,5000
20230731,center,306,0.0612,301,0.0602,5000
20230731,center-right,303,0.0606,299,0.0598,5000
20230731,far-right,220,0.044,214,0.0428,5000
20230807,far-left,346,0.0692,342,0.0684,5000
20230807,center-left,253,0.0506,247,0.0494,5000
20230807,center,270,0.054,266,0.0532,5000
20230807,center-right,307,0.0614,301,0.0602,5000
20230807,far-right,222,0.0444,216,0.0432,5000
20230814,far-left,365,0.073,351,0.0702,5000
20230814,center-left,310,0.062,302,0.0604,5000
20230814,center,356,0.0712,347,0.0694,5000
20230814,center-right,327,0.0654,322,0.0644,5000
20230814,far-right,210,0.042,206,0.0412,5000
20230821,far-left,369,0.0738,357,0.0714,5000
20230821,center-left,308,0.0616,305,0.061,5000
20230821,center,292,0.0584,286,0.0572,5000
20230821,center-right,284,0.0568,274,0.0548,5000
20230821,far-right,199,0.0398,197,0.0394,5000
20230828,far-left,363,0.0726,354,0.0708,5000
20230828,center-left,299,0.0598,289,0.0578,5000
20230828,center,306,0.0612,293,0.0586,5000
20230828,center-right,240,0.048,236,0.0472,5000
20230828,far-right,214,0.0428,210,0.042,5000
20230904,far-left,325,0.065,319,0.0638,5000
20230904,center-left,309,0.0618,300,0.06,5000
20230904,center,294,0.0588,287,0.0574,5000
20230904,center-right,265,0.053,261,0.0522,5000
20230904,far-right,286,0.0572,282,0.0564,5000
20230911,far-left,403,0.0806,392,0.0784,5000
