term,count
biden,535
trump,359
border,260
school,256
county,234
bill,212
house,204
police,203
attack,183
watch,180
naturalnews.com,171
report,171
american,157
killed,154
back,151
city,147
bowl,146
video,146
million,140
time,132
super,130
down,129
fire,125
high,124
texa,122
iran,105
crash,103
group,97
student,96
democrat,95
south,95
arrested,92
west,90
former,88
found,88
york,87
february,85
official,85
media,84
taylor,84
chief,82
dead,81
republican,80
illegal,77
senate,77
colorado,75
month,73
shooting,73
america,70
week,69
death,68
troop,68
court,67
president,67
woman,67
basketball,66
plan,65
right,63
stock,61
deal,60
strike,60
crime,59
east,59
hama,59
face,58
election,56
black,55
florida,55
jordan,55
swift,55
federal,53
help,50
israel,50
national,50
record,50
charged,47
crisi,47
lawmaker,47
rate,47
drone,46
military,46
open,46
life,44
family,42
football,42
game,42
white,42
jersey,41
judge,41
need,41
abortion,40
girl,39
kansa,39
migrant,39
people,39
star,39
claim,38
change,37
biden',36
