term,count
trump,349
protest,233
gaza,226
student,219
police,206
israel,181
people,132
right,131
protester,127
game,123
week,115
school,111
university,110
palestinian,108
time,104
biden,94
watch,93
down,92
columbia,91
report,91
court,89
campus,82
world,82
city,81
star,79
back,78
black,78
house,75
season,74
trial,70
health,68
election,66
high,65
return,65
april,63
open,63
need,62
talk,62
tour,61
plan,59
deal,58
help,57
israeli,56
video,56
live,53
killed,46
abortion,45
american,44
work,44
hama,41
attack,39
kendrick,39
donald,38
history,38
death,37
love,37
official,37
face,35
fall,35
change,34
fire,34
former,33
college,32
judge,32
review,32
white,32
women,32
arrest,31
local,31
book,29
drake,29
lead,29
minister,29
award,28
latest,28
life,28
support,28
long,27
