term,count
county,355
school,351
trump,313
police,262
biden,256
photo,202
video,191
american,176
cheney,158
watch,157
raid,149
woman,146
back,137
student,135
city,134
democrat,133
florida,126
week,123
report,120
former,118
election,115
time,114
inflation,110
high,109
lago,109
death,107
judge,106
arrested,105
abortion,104
covid,104
crash,102
desanti,99
people,97
help,93
bill,88
shooting,87
fire,84
house,81
republican,81
life,79
down,75
killed,75
open,73
million,71
president,70
white,70
family,68
football,64
august,58
media,58
court,57
health,57
kansa,57
primary,54
west,54
plan,53
face,51
officer,51
race,51
return,51
accused,50
teacher,49
suspect,48
breaking,46
fall,45
price,45
need,44
brian,43
left,43
fort,42
found,42
game,42
stelter,42
world,42
group,40
attack,39
climate,39
ukraine,39
charge,37
district,37
border,35
change,35
event,34
