term,count
biden,317
county,287
school,265
police,260
queen,244
trump,239
elizabeth,204
video,193
american,188
city,175
democrat,162
back,160
photo,153
watch,145
week,141
crash,140
shooting,139
student,135
death,134
fire,128
football,125
arrested,124
election,122
down,119
high,117
woman,114
republican,111
time,105
fall,103
judge,103
california,99
energy,98
abortion,95
report,92
dead,91
game,90
covid,89
north,88
killed,87
help,85
family,84
suspect,83
people,80
white,80
september,79
house,78
million,76
open,75
breaking,74
attack,73
power,72
official,70
former,68
labor,68
teacher,67
ukraine,66
florida,65
found,65
season,65
nebraska,64
special,62
claim,58
health,55
media,53
weekend,51
christian,49
south,49
kansa,48
event,47
biden',46
right,45
voter,45
coming,43
court,43
leader,43
college,42
public,42
west,42
military,41
russia,41
accused,40
america,40
market,40
plan,40
speech,40
maga,39
vehicle,39
chief,38
live,37
president,37
shot,37
life,36
