term,count
biden,639
trump,350
county,312
school,246
police,208
desanti,188
american,181
video,170
back,169
watch,169
family,159
million,147
city,140
fire,137
arrested,134
hunter,131
people,128
naturalnews.com,127
woman,126
florida,124
house,124
special,123
storm,122
killed,121
time,121
down,113
photo,108
abortion,104
former,104
report,102
right,101
court,97
shooting,95
student,95
maui,94
help,91
death,90
crash,89
president,86
ukraine,85
dead,84
fall,82
child,80
military,78
election,75
judge,73
found,69
high,68
plan,66
wildfire,65
week,60
north,59
claim,57
life,57
world,55
issue,54
need,54
white,54
counsel,52
record,51
media,50
arrest,49
football,49
girl,49
face,48
billion,46
attack,45
democrat,45
charge,44
texa,44
change,43
open,43
accused,42
nebraska,42
campaign,41
climate,41
missing,41
parent,41
west,41
covid,40
officer,39
official,39
center,38
iowa,38
left,37
ohio,37
august,36
breaking,36
star,36
investigation,34
republican,34
lead,33
return,33
