term,count
trump,724
biden,469
pardon,370
hunter,287
watch,245
bedroom,238
school,208
county,202
president,198
december,185
house,184
holiday,169
report,169
police,165
omaha,164
christma,162
court,155
basketball,148
city,144
college,143
back,135
game,135
week,134
hegseth,133
south,132
football,129
pick,128
trump’,120
fire,119
photo,119
high,117
season,117
time,117
american,101
woman,101
democrat,97
shooting,93
charge,88
pete,88
plan,86
family,80
former,76
crash,74
election,69
arrested,65
biden’,65
north,64
killed,62
fall,61
million,61
nebraska,61
open,61
found,55
penn,54
government,51
death,50
help,49
people,47
federal,46
down,45
media,45
national,44
stock,44
trump',43
dead,42
bill,41
life,41
unitedhealthcare,41
team,40
notre,39
murder,38
sale,38
dame,37
leader,37
official,37
program,37
white,37
transgender,36
center,35
china,35
service,35
naturalnews.com,34
class,33
judge,33
lead,33
release,33
supreme,33
child,32
defense,32
face,32
army,31
change,31
health,31
weekend,31
