term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,796,0.159,786,0.157,5000
biden,453,0.0906,446,0.0892,5000
christmas,316,0.0632,310,0.062,5000
new,257,0.0514,254,0.0508,5000
watch,195,0.039,195,0.039,5000
president,158,0.0316,152,0.0304,5000
2024,141,0.0282,140,0.028,5000
bill,137,0.0274,135,0.027,5000
report,132,0.0264,132,0.0264,5000
musk,125,0.025,124,0.0248,5000
news,116,0.0232,110,0.022,5000
house,116,0.0232,115,0.023,5000
down,95,0.019,92,0.0184,5000
government,95,0.019,94,0.0188,5000
america,94,0.0188,93,0.0186,5000
elon,93,0.0186,91,0.0182,5000
death,91,0.0182,90,0.018,5000
spending,90,0.018,89,0.0178,5000
joe,85,0.017,85,0.017,5000
worldnetdaily,81,0.0162,81,0.0162,5000
media,80,0.016,80,0.016,5000
school,77,0.0154,76,0.0152,5000
day,76,0.0152,76,0.0152,5000
stock,75,0.015,72,0.0144,5000
drones,68,0.0136,67,0.0134,5000
back,66,0.0132,66,0.0132,5000
cnn,66,0.0132,66,0.0132,5000
woman,66,0.0132,65,0.013,5000
man,65,0.013,65,0.013,5000
video,65,0.013,65,0.013,5000
gop,63,0.0126,60,0.012,5000
former,63,0.0126,62,0.0124,5000
democrats,62,0.0124,62,0.0124,5000
u.s.,62,0.0124,61,0.0122,5000
white,61,0.0122,59,0.0118,5000
drone,60,0.012,59,0.0118,5000
win,60,0.012,59,0.0118,5000
time,59,0.0118,59,0.0118,5000
california,59,0.0118,59,0.0118,5000
court,59,0.0118,59,0.0118,5000
johnson,59,0.0118,58,0.0116,5000
life,58,0.0116,58,0.0116,5000
dems,58,0.0116,57,0.0114,5000
star,57,0.0114,56,0.0112,5000
dead,57,0.0114,55,0.011,5000
police,57,0.0114,56,0.0112,5000
left,57,0.0114,57,0.0114,5000
syria,57,0.0114,57,0.0114,5000
china,56,0.0112,56,0.0112,5000
people,56,0.0112,54,0.0108,5000
illegal,56,0.0112,56,0.0112,5000
election,55,0.011,53,0.0106,5000
federal,54,0.0108,53,0.0106,5000
rep,54,0.0108,54,0.0108,5000
border,53,0.0106,51,0.0102,5000
fire,50,0.01,50,0.01,5000
york,50,0.01,50,0.01,5000
post,50,0.01,50,0.01,5000
end,49,0.0098,49,0.0098,5000
big,49,0.0098,49,0.0098,5000
key,49,0.0098,49,0.0098,5000
attack,48,0.0096,48,0.0096,5000
december,48,0.0096,48,0.0096,5000
family,47,0.0094,47,0.0094,5000
americans,46,0.0092,46,0.0092,5000
dem,46,0.0092,46,0.0092,5000
2025,45,0.009,45,0.009,5000
congress,45,0.009,45,0.009,5000
so,45,0.009,45,0.009,5000
american,45,0.009,43,0.0086,5000
health,45,0.009,45,0.009,5000
rating,45,0.009,45,0.009,5000
politics,44,0.0088,44,0.0088,5000
party,44,0.0088,44,0.0088,5000
funding,43,0.0086,43,0.0086,5000
national,43,0.0086,42,0.0084,5000
war,43,0.0086,41,0.0082,5000
kamala,43,0.0086,43,0.0086,5000
women,43,0.0086,43,0.0086,5000
republicans,43,0.0086,43,0.0086,5000
defense,43,0.0086,43,0.0086,5000
world,43,0.0086,43,0.0086,5000
admin,43,0.0086,43,0.0086,5000
ai,42,0.0084,40,0.008,5000
calls,42,0.0084,42,0.0084,5000
harris,42,0.0084,42,0.0084,5000
million,42,0.0084,42,0.0084,5000
fbi,42,0.0084,41,0.0082,5000
claims,42,0.0084,42,0.0084,5000
democrat,41,0.0082,41,0.0082,5000
group,41,0.0082,41,0.0082,5000
donald,41,0.0082,41,0.0082,5000
senate,41,0.0082,41,0.0082,5000
subway,41,0.0082,41,0.0082,5000
market,41,0.0082,41,0.0082,5000
massive,41,0.0082,41,0.0082,5000
ceo,41,0.0082,41,0.0082,5000
holiday,40,0.008,40,0.008,5000
reveals,40,0.008,40,0.008,5000
christian,40,0.008,40,0.008,5000
