term,count
trump,511
biden,349
school,294
bill,282
county,273
police,254
watch,217
city,199
desanti,194
house,194
arrested,182
video,179
american,177
report,167
student,154
high,151
fire,139
photo,137
shooting,131
crash,122
death,118
spring,116
arrest,111
back,111
florida,111
march,110
kansa,108
time,105
bank,104
court,104
woman,104
former,103
people,102
killed,101
down,95
found,94
tiktok,93
week,92
white,92
plan,89
west,89
right,87
ukraine,82
missing,77
china,76
dead,73
claim,71
world,69
million,67
nebraska,64
indictment,63
abortion,62
breaking,62
bragg,60
republican,60
colorado,59
north,57
parent,57
help,56
officer,55
family,54
charged,53
covid,52
life,51
democrat,49
lawmaker,49
president,49
warn,49
change,47
health,47
lincoln,46
sign,46
child,44
military,44
star,44
need,43
america,42
national,42
basketball,40
break,40
teacher,40
putin,39
fall,38
attack,37
open,37
russia,36
senate,35
donald,34
