term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,260,0.052,252,0.0504,5000
trump,185,0.037,181,0.0362,5000
day,162,0.0324,159,0.0318,5000
man,157,0.0314,154,0.0308,5000
2024,130,0.026,130,0.026,5000
police,111,0.0222,110,0.022,5000
county,110,0.022,109,0.0218,5000
biden,106,0.0212,105,0.021,5000
star,85,0.017,84,0.0168,5000
trial,85,0.017,85,0.017,5000
killed,82,0.0164,82,0.0164,5000
israel,81,0.0162,75,0.015,5000
city,81,0.0162,79,0.0158,5000
memorial,79,0.0158,79,0.0158,5000
north,78,0.0156,78,0.0156,5000
school,74,0.0148,72,0.0144,5000
win,73,0.0146,73,0.0146,5000
president,73,0.0146,73,0.0146,5000
season,70,0.014,70,0.014,5000
back,70,0.014,67,0.0134,5000
south,69,0.0138,69,0.0138,5000
open,69,0.0138,67,0.0134,5000
free,69,0.0138,68,0.0136,5000
time,68,0.0136,68,0.0136,5000
florida,67,0.0134,67,0.0134,5000
dead,66,0.0132,66,0.0132,5000
dies,66,0.0132,66,0.0132,5000
world,66,0.0132,65,0.013,5000
texas,65,0.013,61,0.0122,5000
summer,64,0.0128,64,0.0128,5000
watch,63,0.0126,63,0.0126,5000
family,61,0.0122,61,0.0122,5000
woman,60,0.012,60,0.012,5000
national,60,0.012,59,0.0118,5000
crash,60,0.012,60,0.012,5000
money,59,0.0118,59,0.0118,5000
gaza,59,0.0118,59,0.0118,5000
people,59,0.0118,59,0.0118,5000
storms,59,0.0118,59,0.0118,5000
house,59,0.0118,58,0.0116,5000
million,58,0.0116,57,0.0114,5000
final,58,0.0116,58,0.0116,5000
old,57,0.0114,56,0.0112,5000
shooting,56,0.0112,56,0.0112,5000
live,55,0.011,55,0.011,5000
women,55,0.011,55,0.011,5000
u.s.,55,0.011,55,0.011,5000
former,54,0.0108,54,0.0108,5000
court,53,0.0106,53,0.0106,5000
weather,53,0.0106,52,0.0104,5000
election,53,0.0106,53,0.0106,5000
death,53,0.0106,53,0.0106,5000
american,52,0.0104,52,0.0104,5000
fire,52,0.0104,50,0.01,5000
bill,52,0.0104,52,0.0104,5000
ex,52,0.0104,52,0.0104,5000
sports,51,0.0102,51,0.0102,5000
weekend,50,0.01,50,0.01,5000
game,48,0.0096,48,0.0096,5000
help,48,0.0096,48,0.0096,5000
severe,48,0.0096,48,0.0096,5000
rafah,48,0.0096,48,0.0096,5000
high,47,0.0094,47,0.0094,5000
power,46,0.0092,46,0.0092,5000
love,45,0.009,43,0.0086,5000
hit,45,0.009,44,0.0088,5000
military,45,0.009,45,0.009,5000
fans,45,0.009,45,0.009,5000
colorado,44,0.0088,44,0.0088,5000
french,44,0.0088,44,0.0088,5000
arrested,44,0.0088,44,0.0088,5000
leaders,44,0.0088,44,0.0088,5000
video,44,0.0088,44,0.0088,5000
set,44,0.0088,44,0.0088,5000
ap,44,0.0088,44,0.0088,5000
week,44,0.0088,44,0.0088,5000
murder,44,0.0088,44,0.0088,5000
china,43,0.0086,43,0.0086,5000
calls,43,0.0086,43,0.0086,5000
group,43,0.0086,42,0.0084,5000
shot,43,0.0086,43,0.0086,5000
down,43,0.0086,43,0.0086,5000
record,43,0.0086,43,0.0086,5000
officials,43,0.0086,43,0.0086,5000
donald,43,0.0086,43,0.0086,5000
war,42,0.0084,42,0.0084,5000
found,42,0.0084,42,0.0084,5000
arrest,41,0.0082,41,0.0082,5000
israeli,41,0.0082,41,0.0082,5000
defense,41,0.0082,41,0.0082,5000
storm,41,0.0082,40,0.008,5000
â,40,0.008,40,0.008,5000
naturalnews.com,40,0.008,40,0.008,5000
west,40,0.008,40,0.008,5000
life,39,0.0078,39,0.0078,5000
baseball,39,0.0078,39,0.0078,5000
oklahoma,39,0.0078,38,0.0076,5000
iran,39,0.0078,39,0.0078,5000
mother,38,0.0076,38,0.0076,5000
vs,38,0.0076,38,0.0076,5000
