term,count
house,317
speaker,249
mccarthy,244
republican,165
january,162
black,156
time,156
kevin,152
watch,137
damar,130
video,127
trump,120
week,115
people,108
game,106
back,100
hamlin,96
police,95
right,92
vote,92
school,77
report,73
bill,72
star,72
need,68
covid,67
family,66
share,63
city,62
santo,61
court,60
world,60
death,59
george,58
down,55
health,52
ukraine,52
open,47
county,46
plan,46
biden,45
public,44
former,43
fire,41
help,40
season,39
work,38
high,36
israeli,36
album,35
song,35
arrest,34
good,34
congress,33
food,33
live,32
woman,32
face,28
review,28
winter,28
basketball,27
fight,27
music,27
return,27
visit,27
attack,26
record,26
climate,25
lose,24
coming,23
group,23
life,23
park,23
change,22
eagle,21
love,21
photo,21
