term,count
trump,514
biden,411
county,261
police,235
school,234
pride,215
indictment,203
city,194
video,189
american,188
desanti,165
house,155
watch,153
arrested,148
crash,148
report,148
bill,136
woman,127
shooting,126
former,119
florida,118
month,115
photo,115
life,112
june,109
fire,107
white,104
document,103
back,96
right,95
student,95
time,94
charge,92
killed,91
down,89
ukraine,89
president,85
claim,84
court,84
family,84
military,82
dead,79
high,77
california,73
group,72
federal,71
people,71
breaking,70
children,69
death,69
china,66
event,65
republican,65
world,65
kansa,64
official,64
plan,64
shot,62
change,61
help,59
charged,58
face,56
south,54
attack,53
abortion,52
lgbtq,52
week,52
christian,51
alert,50
health,48
open,48
campaign,47
wildfire,47
democrat,46
found,46
north,46
judge,45
gender,43
million,41
classified,40
game,39
officer,36
weekend,36
accused,35
summer,35
chief,34
child,34
community,34
team,34
black,33
company,33
parent,33
target,33
