term,count
tucker,188
bill,178
april,164
black,155
house,148
carlson,146
star,142
video,131
city,126
court,125
time,122
watch,118
right,116
back,115
trump,113
school,111
week,109
people,91
biden,87
health,85
share,81
american,75
world,72
review,71
life,70
good,69
open,69
report,66
game,64
help,58
album,54
national,53
need,52
texa,52
community,51
return,50
center,49
student,49
change,48
love,48
photo,47
harry,46
work,46
desanti,45
down,45
night,45
anti,44
care,44
public,43
republican,43
tran,42
tour,39
high,38
music,38
summer,38
york,38
belafonte,37
play,37
plan,34
celebrate,33
festival,33
season,33
woman,33
family,32
long,32
reveal,32
climate,31
county,31
police,30
release,30
white,30
live,28
power,27
talk,27
women,27
former,25
social,25
book,24
death,24
worker,24
