term,count
biden,492
trump,312
county,300
police,249
watch,211
house,197
american,190
video,187
city,175
school,168
desanti,163
north,162
woman,154
crash,124
military,120
democrat,118
florida,116
hunter,116
naturalnews.com,113
abortion,111
report,111
court,110
fire,110
million,110
time,106
arrested,104
white,104
people,103
shooting,103
jason,100
july,99
back,97
whistleblower,97
plan,95
found,94
former,93
photo,93
death,92
ukraine,91
down,89
family,88
week,87
world,82
national,81
open,81
soldier,79
student,79
fall,78
official,77
killed,76
claim,73
judge,73
heat,72
child,69
help,66
media,66
south,66
china,63
korea,63
storm,59
health,58
republican,58
russia,58
attack,56
right,56
strike,56
charge,54
girl,54
west,54
anti,53
bill,53
officer,53
president,53
town,53
program,51
chief,50
covid,49
election,49
change,47
small,47
breaking,46
accused,43
kansa,42
veteran,42
hearing,41
children,39
sale,39
baby,38
california,38
country,38
need,37
service,37
high,36
