term,count
biden,434
bank,377
trump,279
school,253
county,234
police,207
watch,204
desanti,203
bill,198
march,195
city,178
video,172
american,157
report,154
down,146
house,146
arrested,145
time,140
back,129
valley,125
million,124
ncaa,124
kansa,122
student,122
spring,116
woman,114
photo,111
tournament,110
high,105
crash,102
fire,99
week,99
covid,98
shooting,98
collapse,97
found,97
florida,96
basketball,93
silicon,91
claim,89
death,89
former,89
plan,89
family,87
woke,85
open,76
south,75
change,72
people,71
drone,70
border,66
china,65
president,64
ukraine,64
nebraska,63
colorado,62
game,62
team,62
abortion,60
banking,55
north,54
democrat,53
health,51
lincoln,51
child,50
event,50
girl,49
money,48
black,46
white,46
west,45
right,44
russian,44
russia,43
arrest,42
need,42
media,40
national,39
tran,39
company,38
crime,38
help,38
lawmaker,38
deal,37
force,37
killed,37
drug,36
life,36
dead,35
texa,35
republican,34
stock,34
