term,count
twitter,341
biden,316
county,296
police,236
school,217
trump,214
time,183
covid,180
city,172
american,165
musk,162
house,156
file,153
report,147
week,145
family,142
christma,138
photo,131
video,128
elon,127
death,122
watch,122
holiday,121
fire,113
back,110
student,108
election,105
griner,104
bill,101
arrested,98
crash,98
west,98
military,97
former,96
media,96
democrat,92
season,91
nebraska,86
down,85
high,85
game,84
found,83
million,83
shooting,83
vaccine,82
kansa,79
woman,78
china,76
football,76
republican,76
russia,76
abortion,75
right,74
ukraine,73
court,70
plan,67
official,65
border,64
help,64
murder,63
florida,61
killed,61
people,61
center,59
open,59
reveal,58
star,58
prison,57
virginia,56
life,53
colorado,52
investigation,51
need,51
georgia,50
hunter,50
senate,50
shot,50
russian,49
release,47
attack,46
world,46
claim,45
north,45
brittney,44
december,44
accused,41
girl,41
story,41
public,40
army,39
free,39
america,37
basketball,37
dead,36
