term,count
trump,298
para,233
election,200
rafah,192
israel,143
people,118
memorial,117
open,117
trial,115
police,92
gaza,89
mayo,86
french,82
south,82
time,72
video,72
star,71
world,71
plan,62
back,58
bill,56
strike,56
final,55
national,54
dead,52
israeli,52
court,51
killed,51
help,50
china,47
attack,45
million,45
money,45
death,43
face,41
biden,40
summer,40
woman,40
city,36
down,36
change,33
flight,32
game,32
service,32
former,30
live,29
school,29
jury,28
north,28
power,28
vote,28
murder,27
report,27
family,26
hospital,26
season,26
right,25
sobre,25
ukraine,24
deadly,23
festival,22
palestinian,22
talk,22
cómo,21
deal,21
kill,21
high,20
leave,20
week,20
work,20
este,19
walton,19
government,18
