term,count
trump,431
biden,194
gaza,170
black,154
donald,149
israel,149
share,148
court,147
people,137
time,126
january,124
video,121
week,119
city,118
right,118
back,115
album,106
open,105
watch,91
return,87
hampshire,82
american,76
award,76
oscar,76
star,76
school,71
review,64
game,63
texa,63
song,62
plan,61
down,60
help,60
tour,60
world,60
music,58
live,56
police,56
health,55
million,54
report,53
student,53
bill,52
primary,52
house,51
republican,49
death,48
talk,45
life,40
campaign,39
night,38
nomination,38
haley,37
center,36
climate,36
election,36
history,36
need,36
york,36
deal,34
good,34
south,33
photo,32
record,32
woman,32
fire,31
change,29
listen,29
story,29
abortion,28
free,28
book,27
film,27
attack,26
food,26
nikki,26
president,26
reveal,26
season,26
group,24
month,24
