term,count
trump,460
israel,286
trial,253
court,188
house,149
time,147
iran,145
school,144
attack,133
city,132
money,132
black,127
april,124
people,113
taylor,113
biden,105
star,104
student,103
back,101
down,97
open,97
world,94
share,92
police,91
help,85
week,84
gaza,82
bill,79
right,79
donald,78
game,78
season,75
need,74
watch,74
hush,73
ukraine,72
album,68
video,65
election,64
high,63
american,62
life,60
palestinian,60
report,60
fire,59
criminal,55
health,54
judge,49
juror,49
media,47
supreme,47
live,46
public,46
republican,46
worker,46
trump',45
coachella,44
israeli,42
york,41
deal,37
death,37
plan,37
review,37
change,36
song,36
photo,35
trump’,35
bring,34
climate,34
county,33
president,33
record,33
reveal,33
strike,33
budget,32
care,32
team,32
vote,32
support,31
