term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,140,0.14,138,0.138,1000
new,58,0.058,53,0.053,1000
iran,38,0.038,38,0.038,1000
house,31,0.031,30,0.03,1000
ai,29,0.029,28,0.028,1000
president,28,0.028,27,0.027,1000
video,28,0.028,28,0.028,1000
american,25,0.025,24,0.024,1000
senate,23,0.023,23,0.023,1000
white,20,0.02,19,0.019,1000
u.s.,19,0.019,18,0.018,1000
police,19,0.019,19,0.019,1000
doj,18,0.018,18,0.018,1000
watch,18,0.018,17,0.017,1000
school,17,0.017,17,0.017,1000
war,17,0.017,16,0.016,1000
man,16,0.016,16,0.016,1000
high,16,0.016,16,0.016,1000
gop,16,0.016,16,0.016,1000
democrats,15,0.015,15,0.015,1000
anti,15,0.015,15,0.015,1000
day,15,0.015,15,0.015,1000
city,14,0.014,14,0.014,1000
report,14,0.014,14,0.014,1000
ebola,14,0.014,14,0.014,1000
congress,14,0.014,14,0.014,1000
fire,14,0.014,14,0.014,1000
bill,14,0.014,14,0.014,1000
kyle,13,0.013,13,0.013,1000
cuba,13,0.013,12,0.012,1000
down,13,0.013,13,0.013,1000
fund,13,0.013,13,0.013,1000
national,13,0.013,13,0.013,1000
deal,13,0.013,13,0.013,1000
israel,13,0.013,12,0.012,1000
prices,13,0.013,13,0.013,1000
democrat,13,0.013,13,0.013,1000
busch,12,0.012,12,0.012,1000
open,12,0.012,12,0.012,1000
fraud,12,0.012,12,0.012,1000
massie,12,0.012,12,0.012,1000
hit,12,0.012,12,0.012,1000
texas,12,0.012,12,0.012,1000
woman,12,0.012,12,0.012,1000
weaponization,12,0.012,12,0.012,1000
people,12,0.012,12,0.012,1000
china,12,0.012,11,0.011,1000
2026,11,0.011,11,0.011,1000
death,11,0.011,11,0.011,1000
back,11,0.011,11,0.011,1000
america,11,0.011,11,0.011,1000
thomas,11,0.011,11,0.011,1000
nascar,10,0.01,10,0.01,1000
launches,10,0.01,10,0.01,1000
life,10,0.01,10,0.01,1000
end,10,0.01,10,0.01,1000
cancer,10,0.01,10,0.01,1000
california,10,0.01,10,0.01,1000
risk,10,0.01,10,0.01,1000
newsmax,10,0.01,10,0.01,1000
news,10,0.01,10,0.01,1000
rep,10,0.01,9,0.009,1000
allegedly,9,0.009,9,0.009,1000
announces,9,0.009,9,0.009,1000
former,9,0.009,9,0.009,1000
mayor,9,0.009,9,0.009,1000
plan,9,0.009,9,0.009,1000
old,9,0.009,9,0.009,1000
dies,9,0.009,9,0.009,1000
money,9,0.009,9,0.009,1000
world,9,0.009,9,0.009,1000
long,9,0.009,9,0.009,1000
title,9,0.009,8,0.008,1000
dead,9,0.009,9,0.009,1000
face,9,0.009,9,0.009,1000
mosque,9,0.009,9,0.009,1000
immigration,9,0.009,9,0.009,1000
family,9,0.009,9,0.009,1000
memorial,9,0.009,9,0.009,1000
reveals,9,0.009,9,0.009,1000
russia,9,0.009,9,0.009,1000
billion,9,0.009,8,0.008,1000
castro,8,0.008,7,0.007,1000
attack,8,0.008,8,0.008,1000
pushes,8,0.008,8,0.008,1000
biden,8,0.008,8,0.008,1000
future,8,0.008,8,0.008,1000
federal,8,0.008,8,0.008,1000
star,8,0.008,8,0.008,1000
time,8,0.008,8,0.008,1000
college,8,0.008,8,0.008,1000
gabbard,8,0.008,8,0.008,1000
rare,8,0.008,8,0.008,1000
republican,8,0.008,8,0.008,1000
weekend,8,0.008,8,0.008,1000
military,8,0.008,8,0.008,1000
faces,8,0.008,8,0.008,1000
court,8,0.008,8,0.008,1000
inside,8,0.008,8,0.008,1000
gas,8,0.008,7,0.007,1000
