term,count
trump,1813
biden,984
assassination,503
attempt,446
vance,356
president,313
service,298
secret,265
republican,249
shooting,235
watch,232
democrat,231
donald,215
convention,212
county,205
race,200
rally,195
harri,194
police,168
campaign,158
national,158
time,158
report,156
speech,154
pick,145
former,140
trump',138
drop,133
presidential,131
kamala,122
school,116
crash,115
star,115
security,112
city,110
back,106
down,106
trump’,106
house,99
brief,98
fire,97
election,94
running,92
outage,91
court,90
olympic,89
video,89
week,85
american,83
shot,81
biden',80
july,79
found,78
party,78
people,78
arrested,77
covid,77
open,76
naturalnews.com,73
killed,69
claim,67
attack,66
woman,64
family,62
america,60
dead,60
biden’,59
white,59
following,57
photo,56
life,55
media,55
mate,54
nomination,53
right,53
update,52
plan,51
student,51
million,50
official,50
political,49
team,49
florida,48
north,48
judge,46
record,43
democratic,41
high,41
shooter,40
morning,39
south,39
