term,count
biden,384
school,287
county,268
watch,234
election,222
democrat,202
debate,188
twitter,185
video,184
photo,177
police,168
report,166
american,155
fetterman,142
musk,136
republican,134
halloween,132
city,131
fire,129
high,129
back,126
time,125
student,123
crash,121
week,120
house,117
shooting,108
abortion,107
west,107
media,105
attack,104
poll,104
game,102
trump,102
ukraine,102
covid,99
down,97
claim,94
court,92
elon,89
woman,89
world,86
football,85
million,85
plan,83
florida,81
arrested,80
right,80
midterm,76
vote,76
dead,74
desanti,73
people,71
campaign,70
killed,69
open,69
pelosi,69
former,68
voter,68
death,64
fall,63
crime,59
inflation,57
october,57
south,57
russia,55
senate,55
john,54
military,52
race,51
need,49
candidate,48
found,47
market,46
free,45
stock,44
warn,44
breaking,41
national,41
kansa,40
york,40
family,39
health,38
suspect,38
virginia,38
event,37
left,36
penn,36
share,36
lake,34
price,34
nebraska,33
record,32
season,32
colorado,31
children,30
