term,count
biden,198
trump,166
black,165
time,154
week,146
city,134
back,132
impeachment,132
watch,114
house,106
world,102
video,101
school,100
need,99
climate,97
open,96
people,96
court,95
fall,92
strike,92
right,89
share,89
republican,88
star,88
september,79
covid,76
down,69
help,69
police,65
death,62
song,60
american,56
book,56
north,53
change,51
life,51
review,51
student,51
album,50
live,50
million,49
listen,47
photo,46
report,46
woman,46
trial,45
bill,44
talk,44
game,43
music,43
season,43
york,40
mccarthy,39
national,39
plan,39
street,39
award,36
history,36
love,36
worker,35
single,34
face,33
inquiry,32
tour,32
festival,30
former,30
women,30
health,29
work,29
center,28
meet,28
reveal,27
county,25
release,25
food,24
