term,count
trump,531
biden,460
county,338
school,322
police,248
maui,225
fire,216
georgia,211
american,210
video,197
football,183
indictment,176
watch,168
woman,161
back,158
city,149
high,143
election,141
naturalnews.com,137
former,135
court,127
house,126
fall,124
north,121
crash,120
desanti,118
death,116
wildfire,115
arrested,114
time,114
down,111
photo,110
charge,109
report,102
shooting,102
week,100
family,97
hunter,96
found,95
people,89
plan,88
record,83
million,80
white,79
president,78
media,75
camp,74
ukraine,73
west,71
claim,70
student,69
kansa,68
killed,68
south,68
hawaii,64
right,62
help,61
judge,61
official,61
open,60
life,59
charged,58
nebraska,57
abortion,52
donald,51
federal,49
world,48
change,47
breaking,46
special,45
china,44
dead,44
missing,44
park,44
military,43
heat,42
covid,41
national,40
continue,39
return,39
girl,38
climate,37
colorado,37
biden',36
officer,36
team,36
center,35
face,35
drug,34
florida,34
left,34
poll,34
season,34
crime,33
force,33
