term,count
christma,388
police,287
southwest,261
fire,223
county,218
biden,216
covid,215
woman,213
report,212
flight,211
city,184
house,184
year',183
american,172
storm,170
death,169
million,160
video,156
watch,155
time,147
suspect,138
winter,137
airline,132
people,132
family,131
holiday,129
florida,126
shooting,124
dead,121
benedict,119
killed,117
pope,113
north,111
court,110
week,107
china,105
help,105
trump,102
crash,100
bowl,97
school,97
idaho,90
weather,90
border,89
water,89
continue,88
twitter,88
south,87
found,86
photo,85
back,84
high,83
cancellation,81
former,81
attack,80
buffalo,79
cold,79
murder,78
jackpot,75
arrested,74
health,74
mega,74
west,74
santo,72
stranded,72
ukraine,72
traveler,71
snow,70
open,61
left,59
down,58
missing,57
carolina,56
california,55
accused,54
george,53
game,52
here',51
investigation,51
return,51
life,49
government,48
media,45
power,45
baby,44
title,43
world,43
kansa,42
officer,42
hospital,40
military,40
prison,40
story,40
year’,40
right,39
