term,count
march,229
black,215
bill,168
time,159
people,142
student,135
school,133
house,131
court,119
right,116
award,115
back,115
city,94
week,94
video,91
history,89
plan,87
share,86
open,77
biden,74
trump,72
social,71
life,66
media,65
need,64
down,63
help,62
game,61
review,61
ukraine,61
star,58
watch,57
music,55
world,53
health,52
police,51
family,48
college,47
high,46
photo,46
album,43
public,41
desanti,40
million,40
park,40
food,39
women,39
american,38
florida,37
power,37
republican,37
community,36
west,36
work,36
good,35
white,34
love,33
street,33
michael,31
february,30
group,30
woman,30
story,29
report,28
york,28
center,27
change,27
supreme,27
behind,26
county,26
event,26
drag,25
covid,24
election,24
naacp,24
return,24
season,24
talk,24
texa,24
face,23
president,22
editor,21
live,21
