term,term_count,term_ratio,doc_count,doc_ratio,sample_size
biden,521,0.104,504,0.101,5000
new,297,0.0594,291,0.0582,5000
house,250,0.05,248,0.0496,5000
mccarthy,195,0.039,195,0.039,5000
report,156,0.0312,156,0.0312,5000
gop,149,0.0298,147,0.0294,5000
speaker,149,0.0298,148,0.0296,5000
border,140,0.028,131,0.0262,5000
video,136,0.0272,135,0.027,5000
classified,133,0.0266,132,0.0264,5000
trump,126,0.0252,126,0.0252,5000
hamlin,111,0.0222,110,0.022,5000
2023,110,0.022,110,0.022,5000
republicans,107,0.0214,107,0.0214,5000
rep,105,0.021,100,0.02,5000
damar,100,0.02,100,0.02,5000
china,92,0.0184,91,0.0182,5000
man,89,0.0178,89,0.0178,5000
watch,88,0.0176,88,0.0176,5000
twitter,87,0.0174,76,0.0152,5000
school,86,0.0172,82,0.0164,5000
america,84,0.0168,84,0.0168,5000
nfl,84,0.0168,83,0.0166,5000
docs,83,0.0166,83,0.0166,5000
police,82,0.0164,81,0.0162,5000
covid,80,0.016,76,0.0152,5000
former,78,0.0156,78,0.0156,5000
back,78,0.0156,77,0.0154,5000
people,75,0.015,72,0.0144,5000
documents,74,0.0148,74,0.0148,5000
florida,73,0.0146,72,0.0144,5000
old,71,0.0142,71,0.0142,5000
media,70,0.014,69,0.0138,5000
government,68,0.0136,68,0.0136,5000
life,68,0.0136,66,0.0132,5000
ban,67,0.0134,67,0.0134,5000
court,65,0.013,63,0.0126,5000
white,65,0.013,61,0.0122,5000
joe,64,0.0128,64,0.0128,5000
calls,62,0.0124,62,0.0124,5000
breaking,62,0.0124,62,0.0124,5000
desantis,61,0.0122,61,0.0122,5000
death,61,0.0122,61,0.0122,5000
texas,61,0.0122,60,0.012,5000
kevin,60,0.012,60,0.012,5000
u.s.,60,0.012,60,0.012,5000
gov,60,0.012,58,0.0116,5000
vote,60,0.012,59,0.0118,5000
president,59,0.0118,57,0.0114,5000
dies,58,0.0116,58,0.0116,5000
day,57,0.0114,57,0.0114,5000
idaho,56,0.0112,56,0.0112,5000
news,55,0.011,55,0.011,5000
crisis,54,0.0108,52,0.0104,5000
time,54,0.0108,53,0.0106,5000
ukraine,53,0.0106,53,0.0106,5000
bills,53,0.0106,52,0.0104,5000
big,52,0.0104,51,0.0102,5000
california,52,0.0104,52,0.0104,5000
bill,52,0.0104,52,0.0104,5000
democrats,51,0.0102,50,0.01,5000
american,51,0.0102,50,0.01,5000
murder,51,0.0102,51,0.0102,5000
gas,51,0.0102,48,0.0096,5000
down,50,0.01,50,0.01,5000
left,50,0.01,49,0.0098,5000
2022,50,0.01,50,0.01,5000
republican,50,0.01,50,0.01,5000
congress,49,0.0098,49,0.0098,5000
jan,49,0.0098,48,0.0096,5000
player,49,0.0098,49,0.0098,5000
family,49,0.0098,48,0.0096,5000
claims,47,0.0094,47,0.0094,5000
football,47,0.0094,46,0.0092,5000
committee,46,0.0092,46,0.0092,5000
major,46,0.0092,45,0.009,5000
game,46,0.0092,45,0.009,5000
star,45,0.009,45,0.009,5000
pro,45,0.009,43,0.0086,5000
reveals,45,0.009,45,0.009,5000
national,45,0.009,45,0.009,5000
election,45,0.009,44,0.0088,5000
high,45,0.009,45,0.009,5000
social,45,0.009,43,0.0086,5000
world,44,0.0088,42,0.0084,5000
war,44,0.0088,42,0.0084,5000
kids,44,0.0088,44,0.0088,5000
children,44,0.0088,44,0.0088,5000
gaetz,44,0.0088,44,0.0088,5000
found,44,0.0088,44,0.0088,5000
vaccine,43,0.0086,43,0.0086,5000
governor,43,0.0086,43,0.0086,5000
women,43,0.0086,43,0.0086,5000
schools,42,0.0084,42,0.0084,5000
abortion,42,0.0084,42,0.0084,5000
anti,42,0.0084,39,0.0078,5000
law,42,0.0084,41,0.0082,5000
visit,41,0.0082,40,0.008,5000
right,41,0.0082,41,0.0082,5000
files,41,0.0082,41,0.0082,5000
