term,term_count,term_ratio,doc_count,doc_ratio,sample_size
2026,345,0.069,341,0.0682,5000
new,307,0.0614,296,0.0592,5000
bowl,306,0.0612,301,0.0602,5000
super,295,0.059,292,0.0584,5000
trump,213,0.0426,213,0.0426,5000
olympics,186,0.0372,184,0.0368,5000
winter,153,0.0306,150,0.03,5000
ai,126,0.0252,119,0.0238,5000
ice,109,0.0218,108,0.0216,5000
olympic,104,0.0208,104,0.0208,5000
day,100,0.02,100,0.02,5000
epstein,95,0.019,94,0.0188,5000
2025,93,0.0186,89,0.0178,5000
team,89,0.0178,87,0.0174,5000
guthrie,88,0.0176,82,0.0164,5000
announces,82,0.0164,82,0.0164,5000
man,82,0.0164,82,0.0164,5000
market,76,0.0152,74,0.0148,5000
watch,75,0.015,75,0.015,5000
high,74,0.0148,73,0.0146,5000
police,74,0.0148,74,0.0148,5000
milan,72,0.0144,72,0.0144,5000
back,70,0.014,67,0.0134,5000
win,69,0.0138,69,0.0138,5000
report,68,0.0136,67,0.0134,5000
deal,67,0.0134,67,0.0134,5000
million,67,0.0134,65,0.013,5000
february,66,0.0132,66,0.0132,5000
bad,65,0.013,65,0.013,5000
billion,64,0.0128,60,0.012,5000
results,63,0.0126,63,0.0126,5000
trade,63,0.0126,62,0.0124,5000
county,62,0.0124,62,0.0124,5000
family,62,0.0124,62,0.0124,5000
savannah,62,0.0124,62,0.0124,5000
week,62,0.0124,62,0.0124,5000
cortina,60,0.012,60,0.012,5000
world,60,0.012,60,0.012,5000
game,59,0.0118,57,0.0114,5000
time,59,0.0118,57,0.0114,5000
patriots,58,0.0116,58,0.0116,5000
house,57,0.0114,54,0.0108,5000
u.s.,57,0.0114,57,0.0114,5000
bunny,57,0.0114,57,0.0114,5000
feb,56,0.0112,56,0.0112,5000
gold,55,0.011,51,0.0102,5000
free,54,0.0108,52,0.0104,5000
star,53,0.0106,53,0.0106,5000
women,53,0.0106,51,0.0102,5000
seahawks,53,0.0106,53,0.0106,5000
vs,53,0.0106,51,0.0102,5000
health,52,0.0104,52,0.0104,5000
quarter,51,0.0102,51,0.0102,5000
city,51,0.0102,51,0.0102,5000
opening,50,0.01,50,0.01,5000
big,50,0.01,50,0.01,5000
vonn,49,0.0098,49,0.0098,5000
nfl,48,0.0096,47,0.0094,5000
dies,48,0.0096,48,0.0096,5000
group,48,0.0096,47,0.0094,5000
halftime,48,0.0096,48,0.0096,5000
down,48,0.0096,48,0.0096,5000
school,47,0.0094,47,0.0094,5000
former,46,0.0092,46,0.0092,5000
season,46,0.0092,45,0.009,5000
mom,46,0.0092,46,0.0092,5000
energy,44,0.0088,42,0.0084,5000
music,44,0.0088,40,0.008,5000
basketball,44,0.0088,43,0.0086,5000
federal,43,0.0086,43,0.0086,5000
people,43,0.0086,43,0.0086,5000
american,43,0.0086,43,0.0086,5000
sports,43,0.0086,43,0.0086,5000
love,43,0.0086,43,0.0086,5000
death,43,0.0086,43,0.0086,5000
old,42,0.0084,42,0.0084,5000
inside,42,0.0084,42,0.0084,5000
figure,42,0.0084,41,0.0082,5000
coach,42,0.0084,42,0.0084,5000
woman,42,0.0084,41,0.0082,5000
life,41,0.0082,41,0.0082,5000
talks,41,0.0082,41,0.0082,5000
ex,41,0.0082,41,0.0082,5000
washington,40,0.008,40,0.008,5000
race,40,0.008,39,0.0078,5000
help,40,0.008,40,0.008,5000
charged,40,0.008,40,0.008,5000
mother,40,0.008,40,0.008,5000
law,39,0.0078,38,0.0076,5000
history,39,0.0078,39,0.0078,5000
news,39,0.0078,39,0.0078,5000
program,39,0.0078,39,0.0078,5000
files,39,0.0078,39,0.0078,5000
global,38,0.0076,38,0.0076,5000
video,38,0.0076,38,0.0076,5000
security,38,0.0076,38,0.0076,5000
need,38,0.0076,38,0.0076,5000
found,38,0.0076,38,0.0076,5000
killed,38,0.0076,38,0.0076,5000
iran,38,0.0076,38,0.0076,5000
