term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,81,0.081,78,0.078,1000
world,51,0.051,49,0.049,1000
cup,45,0.045,44,0.044,1000
iran,40,0.04,40,0.04,1000
trump,33,0.033,32,0.032,1000
2026,28,0.028,28,0.028,1000
summer,23,0.023,23,0.023,1000
deal,21,0.021,21,0.021,1000
center,19,0.019,19,0.019,1000
june,18,0.018,18,0.018,1000
day,18,0.018,17,0.017,1000
watch,18,0.018,18,0.018,1000
war,17,0.017,17,0.017,1000
talks,16,0.016,16,0.016,1000
house,16,0.016,16,0.016,1000
live,15,0.015,15,0.015,1000
back,15,0.015,15,0.015,1000
season,15,0.015,15,0.015,1000
people,14,0.014,14,0.014,1000
west,13,0.013,13,0.013,1000
free,13,0.013,11,0.011,1000
open,13,0.013,13,0.013,1000
obama,13,0.013,10,0.01,1000
cancer,12,0.012,11,0.011,1000
review,12,0.012,12,0.012,1000
james,12,0.012,12,0.012,1000
team,12,0.012,12,0.012,1000
time,12,0.012,12,0.012,1000
tv,12,0.012,12,0.012,1000
vs,12,0.012,12,0.012,1000
england,11,0.011,11,0.011,1000
music,11,0.011,11,0.011,1000
ai,11,0.011,11,0.011,1000
america,11,0.011,11,0.011,1000
exclusive,11,0.011,11,0.011,1000
county,11,0.011,11,0.011,1000
american,11,0.011,11,0.011,1000
high,11,0.011,11,0.011,1000
age,10,0.01,10,0.01,1000
million,10,0.01,9,0.009,1000
texas,10,0.01,10,0.01,1000
media,10,0.01,9,0.009,1000
group,10,0.01,10,0.01,1000
help,10,0.01,10,0.01,1000
city,10,0.01,10,0.01,1000
health,10,0.01,10,0.01,1000
u.s.,10,0.01,9,0.009,1000
opening,10,0.01,10,0.01,1000
family,10,0.01,10,0.01,1000
week,9,0.009,9,0.009,1000
stars,9,0.009,9,0.009,1000
college,9,0.009,9,0.009,1000
black,9,0.009,9,0.009,1000
court,9,0.009,9,0.009,1000
police,9,0.009,8,0.008,1000
young,9,0.009,9,0.009,1000
series,9,0.009,9,0.009,1000
photos,9,0.009,9,0.009,1000
life,9,0.009,9,0.009,1000
book,8,0.008,8,0.008,1000
signs,8,0.008,8,0.008,1000
children,8,0.008,8,0.008,1000
record,8,0.008,8,0.008,1000
forces,8,0.008,8,0.008,1000
juneteenth,8,0.008,8,0.008,1000
woman,8,0.008,8,0.008,1000
sports,8,0.008,8,0.008,1000
news,8,0.008,8,0.008,1000
long,8,0.008,8,0.008,1000
white,8,0.008,8,0.008,1000
knicks,8,0.008,8,0.008,1000
dies,8,0.008,8,0.008,1000
hit,8,0.008,8,0.008,1000
london,8,0.008,8,0.008,1000
australia,8,0.008,8,0.008,1000
food,8,0.008,8,0.008,1000
fans,8,0.008,8,0.008,1000
test,8,0.008,8,0.008,1000
presidential,8,0.008,8,0.008,1000
game,8,0.008,8,0.008,1000
leaders,8,0.008,8,0.008,1000
art,7,0.007,7,0.007,1000
national,7,0.007,7,0.007,1000
died,7,0.007,7,0.007,1000
party,7,0.007,7,0.007,1000
future,7,0.007,7,0.007,1000
company,7,0.007,7,0.007,1000
final,7,0.007,7,0.007,1000
face,7,0.007,7,0.007,1000
body,7,0.007,6,0.006,1000
care,7,0.007,7,0.007,1000
fall,7,0.007,7,0.007,1000
park,7,0.007,7,0.007,1000
crash,7,0.007,7,0.007,1000
real,7,0.007,7,0.007,1000
secret,7,0.007,7,0.007,1000
bring,7,0.007,7,0.007,1000
announces,7,0.007,7,0.007,1000
cast,7,0.007,7,0.007,1000
science,7,0.007,7,0.007,1000
