term,count
christma,400
trump,305
holiday,298
gaza,252
court,168
time,156
people,138
israel,134
black,123
video,123
city,121
right,113
school,106
police,104
watch,104
review,101
story,100
week,91
colorado,88
back,85
season,84
woman,84
down,80
family,75
biden,74
gift,74
game,73
million,71
american,64
election,61
star,59
supreme,59
fire,56
share,56
open,54
israeli,53
december,51
album,47
former,47
major,45
texa,44
book,43
health,43
need,43
worker,43
life,42
death,41
ballot,39
county,37
high,36
palestinian,36
public,36
report,36
love,35
plan,35
support,35
help,33
climate,32
bill,30
favorite,30
attack,29
history,29
movie,29
song,29
bring,28
photo,28
world,28
house,27
media,27
official,27
expert,26
student,26
charge,25
good,25
dead,23
