term,count
time,169
school,144
house,142
black,133
people,131
bill,129
city,121
court,116
world,113
american,104
summer,102
video,101
right,98
trump,98
back,97
week,96
review,93
star,91
election,88
desanti,87
health,82
share,80
plan,79
texa,77
life,76
biden,73
open,71
music,70
florida,68
republican,67
festival,63
watch,63
help,62
police,62
work,56
debt,54
york,54
leader,51
game,50
tear,48
talk,47
album,45
community,43
live,43
need,42
photo,42
white,40
down,38
food,37
street,37
high,36
park,36
story,36
love,35
russia,35
supreme,35
tran,35
abortion,34
student,34
book,33
report,32
face,31
million,31
woman,31
center,30
director,30
season,30
song,29
south,29
care,28
family,28
lead,28
bring,27
change,27
climate,27
democrat,27
public,27
coming,25
film,25
kingdom,25
release,25
crisi,24
return,24
