term,count
biden,420
police,284
county,280
school,278
balloon,262
house,216
chinese,212
bill,208
american,188
video,185
down,177
watch,164
covid,146
trump,145
shooting,143
woman,142
high,138
report,135
city,134
time,132
china,129
death,129
fire,129
photo,125
week,123
arrested,120
found,119
bowl,118
desanti,117
florida,106
life,106
black,104
help,102
student,101
super,101
charge,100
ukraine,97
kansa,96
back,91
crash,91
people,86
abortion,84
former,84
million,84
south,84
basketball,80
committee,80
west,80
officer,77
shot,73
killed,72
national,70
suspect,70
health,66
open,66
democrat,64
military,64
chief,62
history,62
family,61
republican,61
game,60
white,59
claim,56
dead,56
college,55
ilhan,55
right,55
arrest,54
nebraska,53
february,52
omar,51
plan,48
breaking,47
public,47
fall,46
hunter,45
official,45
nichol,44
project,44
road,44
tyre,44
month,43
world,43
need,42
court,41
lead,41
oklahoma,39
program,39
biden’,38
media,38
