term,count
biden,334
school,301
police,279
county,260
video,248
city,229
shooting,183
watch,181
house,166
bill,164
trump,161
arrested,158
fire,152
death,151
classified,146
report,146
covid,144
woman,143
photo,140
american,138
student,133
ukraine,133
life,131
abortion,124
found,124
killed,113
high,110
dead,109
attack,108
crash,103
nichol,98
week,97
tyre,94
back,93
people,93
nebraska,90
official,90
florida,88
down,85
officer,85
suspect,85
plan,82
democrat,80
kansa,78
time,78
former,77
basketball,76
january,75
court,72
document,72
desanti,68
fall,65
west,65
tank,63
murder,62
open,62
project,62
claim,61
pelosi,61
south,60
program,58
right,58
breaking,57
health,57
colorado,56
help,55
chief,53
change,52
charged,50
family,49
paul,49
committee,47
white,46
shot,44
senate,42
million,41
media,40
accused,38
child,38
need,38
game,37
service,37
teacher,37
world,37
girl,36
vehicle,36
lincoln,35
national,35
republican,35
record,34
release,34
released,34
community,33
