term,count
trump,457
biden,386
israel,332
school,291
trial,289
county,276
house,252
police,250
court,234
iran,209
watch,192
fire,187
report,183
attack,178
city,172
money,169
bill,168
video,163
student,155
carolina,144
down,140
high,138
north,135
crash,131
help,127
week,125
american,121
shooting,121
woman,121
florida,118
game,118
plan,117
hush,106
april,101
olympic,99
arrested,97
family,97
kansa,97
ukraine,96
former,89
back,87
million,83
johnson,81
york,79
charged,77
death,77
people,77
vote,76
naturalnews.com,72
killed,71
south,71
abortion,70
open,70
sport,70
draft,69
juror,68
president,68
west,68
senate,67
supreme,67
time,67
return,65
child,59
claim,56
life,54
team,53
accused,52
speaker,52
murder,51
star,49
wnba,49
colorado,48
spring,48
trump',48
bridge,47
record,47
illegal,46
charge,45
change,44
month,44
public,43
college,41
democrat,41
national,41
investigation,40
stock,40
world,40
caitlin,39
found,38
missing,38
right,38
storm,38
criminal,37
