term,count
house,160
golden,131
globe,130
video,129
biden,123
city,123
january,121
school,118
people,117
black,116
week,116
trump,115
share,108
right,105
republican,102
back,98
plan,93
student,93
santo,92
watch,90
star,89
review,88
george,81
time,81
covid,79
health,79
public,79
bill,74
police,74
court,73
world,68
album,67
game,64
return,61
song,61
american,58
million,58
family,57
music,56
need,55
life,53
open,52
community,51
down,50
help,49
high,49
report,47
county,46
work,46
climate,45
free,45
texa,41
future,40
history,39
found,38
story,38
season,36
woman,36
center,31
death,31
award,30
change,30
york,30
former,29
love,28
talk,28
women,28
listen,27
worker,27
deal,26
special,26
tour,26
housing,25
live,25
face,24
group,24
restaurant,23
anti,22
coming,22
