term,count
world,348
trump,184
time,155
holiday,141
protest,133
covid,128
week,123
deal,121
people,121
black,120
back,119
monday,116
police,112
china,105
iran,104
right,103
court,102
game,101
season,93
city,86
cyber,86
christma,83
star,83
white,82
twitter,78
watch,77
west,73
help,66
need,66
family,65
share,65
ukraine,65
live,64
worker,64
woman,61
million,60
strike,60
free,59
house,59
county,58
election,57
november,55
down,54
team,54
senate,51
death,50
shooting,50
school,49
plan,48
south,48
bill,47
health,47
face,44
republican,43
life,41
russian,39
support,39
policy,38
return,38
group,37
open,37
talk,37
gift,36
report,36
biden,34
dead,34
dinner,34
found,34
film,33
guilty,33
high,33
video,33
water,33
student,32
apple,31
elon,31
qatar,31
climate,30
former,30
marriage,30
online,30
