term,count
biden,540
tucker,386
school,295
county,285
carlson,276
bill,237
house,230
police,224
draft,219
watch,206
video,194
american,193
trump,185
city,174
desanti,166
student,142
report,137
time,137
former,131
kansa,130
photo,128
high,127
senate,121
woman,120
back,114
abortion,109
arrested,109
fire,108
nebraska,104
florida,101
people,98
found,93
plan,93
april,92
crash,90
shooting,89
down,88
budget,87
death,87
life,83
week,80
south,79
court,75
right,74
tran,73
president,72
conference,67
killed,65
light,64
claim,62
colorado,60
dead,60
open,58
republican,58
white,57
family,56
million,56
help,55
star,55
biden',52
china,52
transfer,52
official,50
democrat,49
chief,48
game,48
military,48
national,47
lawmaker,46
lemon,46
round,46
suspect,45
covid,44
disney,43
football,43
force,43
west,41
child,40
health,39
need,39
sign,38
fight,37
campaign,36
host,36
breaking,35
spring,35
teacher,34
face,33
free,32
