term,count
trump,357
january,201
court,169
black,152
people,148
gaza,146
time,140
watch,135
city,132
week,122
israel,112
police,108
school,107
video,105
share,103
game,102
president,102
star,94
back,90
down,82
biden,79
killed,79
right,72
family,71
york,66
ballot,64
election,61
golden,61
leader,58
attack,57
open,57
help,55
report,55
woman,53
fire,51
supreme,51
house,50
need,49
former,47
republican,46
epstein,44
american,43
health,43
life,42
plan,42
public,42
winter,40
world,39
year',38
death,36
change,35
high,35
reveal,33
snow,33
south,33
street,33
song,32
claim,31
county,31
history,31
ukraine,31
william,31
hama,30
real,30
bill,29
live,29
photo,29
movie,28
official,28
claudine,27
israeli,27
music,27
story,27
