term,count
biden,412
police,297
school,286
county,271
house,221
bill,206
balloon,195
american,193
video,183
chinese,177
down,164
watch,164
woman,149
covid,139
report,139
trump,137
city,135
fire,131
high,131
arrested,126
shooting,125
time,125
death,123
bowl,122
week,121
found,118
desanti,117
photo,117
super,111
florida,110
china,107
black,102
life,101
charge,100
student,94
crash,93
people,93
ukraine,92
committee,90
help,89
back,88
basketball,88
abortion,84
kansa,84
million,84
former,83
officer,82
shot,78
west,78
killed,76
open,75
south,75
chief,74
history,73
health,66
military,66
republican,66
game,65
suspect,65
omar,63
family,62
right,62
democrat,61
ilhan,61
national,61
white,61
claim,58
nichol,58
road,58
dead,57
plan,56
college,55
february,53
nebraska,53
project,53
court,52
tyre,52
need,50
public,50
fall,49
arrest,48
breaking,45
oklahoma,42
media,40
classified,39
lead,39
president,39
program,39
christian,38
change,37
world,37
