term,count
trump,518
helene,472
harri,445
hurricane,424
biden,341
debate,324
walz,302
watch,291
israel,277
strike,276
vance,259
county,257
school,227
kamala,225
election,221
week,210
time,176
naturalnews.com,168
north,161
report,159
help,151
attack,149
bedroom,144
high,144
iran,144
victim,138
fire,136
carolina,129
down,124
october,119
city,117
police,112
people,106
omaha,105
abortion,103
photo,103
fall,102
back,97
port,97
football,94
missile,94
game,91
east,88
american,86
relief,84
fema,83
democrat,80
death,77
brief,76
campaign,76
life,74
presidential,74
student,74
voter,74
house,71
shooting,71
america,69
president,69
response,69
million,68
woman,68
arrested,65
plan,65
claim,61
right,58
florida,57
court,56
crash,56
former,56
video,56
west,55
media,54
return,54
vote,54
power,53
illegal,50
record,50
face,49
live,49
israeli,48
dockworker,47
national,47
accused,46
lebanon,46
need,45
post,45
community,43
dead,42
south,42
union,41
nebraska,40
update,39
colorado,38
free,38
killed,38
leader,38
month,38
open,38
