term,count
trump,386
biden,356
police,349
israel,247
school,247
county,244
student,242
protester,208
killed,207
protest,204
hama,195
tornado,193
watch,190
north,177
officer,175
carolina,171
house,168
florida,164
week,160
university,153
high,149
crash,143
game,143
columbia,142
video,140
fire,139
campus,138
time,136
storm,125
report,123
help,122
south,122
anti,119
family,118
american,116
city,115
found,115
down,107
court,104
college,100
democrat,99
former,98
arrested,97
gaza,97
trial,96
palestinian,95
people,91
shot,84
dead,82
derby,81
shooting,80
oklahoma,79
colorado,78
kansa,77
white,76
order,75
month,72
missing,69
back,68
election,68
woman,67
death,66
team,66
naturalnews.com,65
bill,64
money,64
plan,64
face,63
sport,63
abortion,62
free,60
cancer,58
million,58
official,58
kentucky,56
lead,55
rule,55
injured,53
teen,52
national,51
return,51
park,50
world,50
health,49
life,49
need,48
star,48
begin,45
baby,43
california,43
host,43
judge,43
open,43
public,43
here’,42
