term,count
trump,380
gaza,164
time,147
black,144
share,140
people,136
emmy,129
school,126
iowa,123
court,122
january,119
week,119
right,113
donald,110
republican,109
city,105
video,104
biden,100
album,99
israel,98
award,88
health,83
watch,80
world,80
back,74
down,71
election,70
review,68
king,65
open,65
game,62
life,60
primary,59
bill,56
haley,56
american,55
police,54
house,50
report,50
attack,49
high,49
season,49
tour,46
help,45
film,44
plan,44
death,43
need,42
fire,41
student,39
woman,39
love,37
strike,37
good,36
snow,36
county,34
family,34
judge,34
song,34
west,34
israeli,33
music,33
single,33
work,32
history,31
million,31
desanti,30
face,30
star,30
coming,29
weekend,29
winter,29
real,27
return,27
broadway,26
media,26
photo,26
