term,count
trump,299
black,225
world,220
time,183
house,167
people,136
climate,132
election,131
november,113
school,113
twitter,110
city,108
week,104
down,103
student,94
holiday,92
back,91
share,88
open,86
thanksgiving,84
health,79
worker,79
video,76
republican,75
right,75
game,70
life,70
need,70
american,69
million,69
album,60
return,58
report,56
watch,56
county,52
high,52
public,49
family,48
food,48
live,48
police,48
star,48
york,48
change,47
season,47
community,46
death,46
help,46
future,45
donald,44
marriage,44
midterm,44
race,43
court,42
good,42
review,42
friday,41
plan,41
street,41
work,41
white,40
bill,37
brooklyn,37
history,37
ukraine,36
biden,35
bring,34
cop27,33
former,32
deal,31
football,30
release,30
texa,30
award,28
music,28
vote,28
democrat,27
elon,27
senate,26
talk,26
shooting,25
lgbtq,24
tour,24
anti,23
