term,count
biden,373
house,334
trump,319
school,287
speaker,267
county,260
police,240
mccarthy,220
week,204
israel,202
watch,199
attack,196
city,187
american,179
fire,160
football,159
border,143
high,141
video,141
time,139
killed,138
report,137
fall,133
death,129
crash,127
hama,127
photo,123
student,121
republican,118
game,115
arrested,112
back,112
ukraine,111
naturalnews.com,109
woman,104
court,103
help,98
democrat,90
october,87
shooting,86
plan,83
former,81
nebraska,75
strike,75
abortion,74
west,74
down,71
people,71
need,70
million,68
support,66
florida,65
open,65
wall,65
season,63
life,61
kevin,60
kansa,59
president,59
suspect,59
family,58
vote,58
york,58
right,57
return,53
found,52
america,47
college,47
desanti,47
illegal,47
iowa,47
south,47
charged,46
north,45
team,45
change,44
trial,44
dead,43
national,42
breaking,41
host,39
judge,39
community,38
park,37
public,37
officer,35
shot,35
worker,35
black,33
face,33
missing,33
murder,33
policy,33
world,33
