term,count
thanksgiving,294
gaza,261
israel,256
black,241
trump,202
deal,197
holiday,175
hama,166
friday,158
court,141
time,130
right,121
israeli,120
game,110
watch,107
season,106
week,106
world,102
people,96
back,95
city,88
fire,86
former,84
hostage,82
report,82
palestinian,80
star,76
police,75
family,71
openai,67
school,66
down,64
women,64
media,61
american,60
open,59
biden,57
trial,56
live,55
return,55
chief,54
death,54
health,52
attack,51
book,51
video,51
climate,50
woman,49
sale,48
turkey,48
election,47
high,47
free,46
claim,44
appeal,43
record,41
house,40
award,39
help,39
reveal,39
strike,39
student,39
worker,39
order,37
film,36
million,36
love,34
talk,34
president,33
release,33
plan,32
need,30
hospital,29
lawsuit,29
november,29
taylor,29
work,29
here’,28
monday,28
public,28
street,28
killed,27
