term,count
biden,381
election,316
democrat,260
county,253
republican,236
report,230
twitter,217
police,210
pelosi,200
musk,189
school,189
attack,177
american,175
video,171
halloween,167
watch,164
time,161
midterm,158
elon,155
photo,153
poll,143
week,139
covid,136
trump,133
city,131
race,127
court,122
house,122
abortion,116
media,112
voter,110
woman,110
fire,108
people,108
death,102
back,101
paul,94
down,93
game,92
arrested,91
high,91
candidate,87
shooting,87
crash,86
claim,81
open,81
november,79
life,77
north,71
ballot,70
right,70
record,69
student,68
west,68
ukraine,67
vote,66
family,65
campaign,64
senate,64
help,62
south,62
million,61
world,60
crime,59
killed,59
speech,59
white,59
inflation,57
kansa,56
shot,56
powerball,52
billion,51
host,49
company,48
plan,48
former,47
breaking,46
florida,46
football,46
nebraska,45
rate,45
fall,40
free,40
china,39
military,39
democracy,38
suspect,38
season,37
market,36
supreme,36
lead,35
college,34
face,33
found,33
veteran,33
voting,33
