term,count
grammy,278
super,271
bowl,265
black,260
school,168
union,162
biden,149
history,143
house,140
week,140
time,135
city,126
people,121
watch,117
earthquake,116
turkey,116
police,111
open,94
trump,93
right,91
share,91
syria,91
republican,89
bill,88
student,85
february,79
video,79
down,71
game,69
album,66
love,64
back,62
plan,61
health,59
award,56
court,56
death,56
balloon,53
good,52
review,52
world,52
life,49
woman,48
change,47
million,46
song,46
artist,45
food,45
quake,43
street,41
talk,40
american,39
face,39
need,39
community,38
president,38
social,38
star,38
white,38
report,37
season,37
night,35
work,35
worker,35
photo,34
santo,33
music,30
public,29
return,28
york,28
live,27
care,25
style,25
high,24
lawmaker,23
month,23
park,23
women,23
book,22
brooklyn,22
center,22
help,22
company,21
