term,count
trump,515
biden,234
gaza,230
court,183
tuesday,176
super,173
march,162
time,156
election,144
black,129
primary,129
city,127
israel,126
supreme,124
people,112
school,105
house,99
campaign,94
republican,93
bill,92
haley,90
right,87
report,84
million,83
plan,80
back,76
american,74
police,74
world,74
watch,71
week,71
health,69
share,69
attack,68
video,66
down,65
high,65
woman,64
star,63
ballot,62
company,62
music,62
deal,61
open,61
union,60
voter,60
live,59
women,56
donald,54
vote,54
death,51
nikki,50
race,50
record,48
talk,47
face,46
album,45
season,44
change,42
life,42
public,40
russian,40
seek,40
texa,40
president,39
tour,39
help,37
killed,37
reveal,37
israeli,36
presidential,36
film,35
sign,34
oscar,33
family,32
fire,32
rule,32
york,32
free,31
game,31
month,31
