term,count
biden,436
county,308
school,246
video,200
democrat,182
city,180
police,179
report,178
watch,177
abortion,171
fire,164
week,163
photo,160
american,154
election,149
student,142
covid,138
crash,136
high,124
arrested,115
trump,113
woman,112
football,108
shooting,107
fall,106
ukraine,106
republican,104
time,104
back,102
help,100
plan,100
down,97
west,97
open,92
media,91
people,90
killed,87
record,81
right,78
life,76
family,75
game,75
midterm,74
poll,74
florida,73
house,73
million,72
kansa,70
voter,69
inflation,68
need,65
season,65
face,62
white,61
candidate,60
military,57
price,57
october,56
vote,55
former,52
dead,47
death,47
found,47
nebraska,47
colorado,46
charge,45
court,44
month,44
campaign,43
children,43
halloween,42
senate,42
change,41
power,41
lincoln,40
charged,39
breaking,38
leader,38
south,38
claim,37
girl,37
market,37
stock,37
morning,36
russia,36
child,35
event,35
live,35
shot,34
official,33
sale,33
