term,count
trump,382
video,159
time,158
people,152
city,142
back,122
israel,117
black,114
court,112
biden,110
open,108
memorial,105
election,100
right,100
live,98
school,95
plan,93
share,92
down,89
summer,89
season,88
game,87
woman,84
police,81
world,77
diddy,74
gaza,74
watch,74
palestinian,69
week,69
star,67
american,64
donald,63
family,60
park,59
bill,58
trial,58
county,56
death,56
report,54
million,53
review,52
house,51
weekend,51
free,47
lawsuit,47
health,44
music,44
president,43
need,41
reveal,41
album,40
deal,40
former,39
dead,38
help,38
photo,37
student,37
food,36
judge,36
york,36
leader,35
life,35
song,35
high,34
return,34
south,34
work,34
israeli,33
canne,32
face,32
money,31
public,31
brooklyn,30
festival,30
change,29
claim,28
break,27
