term,count
biden,398
county,257
school,254
police,205
democrat,195
week,176
watch,171
city,165
photo,164
time,163
video,160
ukraine,156
back,155
trump,146
high,137
american,133
report,130
down,124
fire,119
student,117
abortion,116
covid,114
football,114
candidate,112
election,111
hurricane,111
inflation,110
life,105
plan,105
house,104
fall,98
west,98
florida,97
russia,96
crash,94
health,91
nebraska,91
people,91
shooting,91
colorado,89
million,87
dead,83
help,83
republican,81
woman,79
family,76
military,76
death,74
change,73
south,73
attack,68
open,68
killed,64
arrested,61
center,61
poll,60
season,59
former,58
court,57
price,57
white,57
game,56
russian,56
right,53
kansa,51
child,50
party,48
race,48
army,47
found,47
service,43
month,42
claim,41
john,41
return,41
fetterman,39
market,39
october,38
president,38
tulsi,38
voter,38
company,37
support,37
debate,36
record,36
vote,36
crime,34
media,34
