term,count
holiday,208
trump,179
world,171
time,159
christma,156
black,151
people,134
city,131
school,110
right,108
house,101
watch,94
covid,90
twitter,90
season,88
death,85
police,84
game,83
video,82
elon,81
back,80
week,80
open,79
musk,74
biden,72
free,71
report,70
court,68
plan,68
family,67
life,65
student,65
white,65
american,62
share,62
gift,60
tour,57
down,56
help,56
health,54
former,51
release,51
december,50
county,49
public,48
million,47
reveal,46
winter,46
live,45
woman,43
album,40
return,40
election,38
high,37
bill,36
community,36
worker,36
energy,35
need,35
republican,34
post,33
power,32
marriage,31
music,31
book,29
song,29
ukraine,28
climate,27
lgbtq,27
special,27
congress,26
arrested,25
work,25
face,24
history,24
review,24
council,23
party,23
star,23
anti,22
