term,count
israel,649
hama,417
gaza,350
attack,199
house,186
israeli,179
october,164
time,151
black,147
city,139
republican,131
trump,129
palestinian,120
school,119
week,117
people,110
world,108
open,101
biden,97
right,97
back,95
american,93
share,90
student,86
video,79
health,77
watch,77
deal,76
help,73
climate,72
speaker,70
tour,70
community,66
game,66
fall,63
review,63
book,62
family,60
report,59
season,56
support,55
album,54
star,54
death,50
live,50
photo,47
down,46
love,46
food,42
talk,42
million,40
plan,40
police,40
public,39
court,38
face,37
award,36
life,33
return,33
celebrate,31
palestine,31
strike,31
festival,30
smith,30
street,30
power,29
anti,28
change,27
denver,27
group,26
girl,25
night,25
broadway,24
fire,24
reveal,24
