term,count
trump,318
bridge,261
baltimore,198
march,167
time,164
people,161
collapse,160
biden,152
black,138
court,131
gaza,127
attack,112
school,111
back,110
world,110
right,107
easter,104
video,97
watch,94
city,92
health,89
share,88
star,79
diddy,78
down,77
student,73
season,72
house,68
album,67
open,67
week,67
million,66
plan,64
american,61
change,59
israel,59
worker,59
report,57
april,56
women,56
face,54
dead,53
police,53
election,52
media,51
death,50
judge,50
money,49
social,48
need,47
return,47
game,46
life,46
bill,45
lawsuit,42
high,41
history,41
abortion,40
federal,39
street,39
food,37
review,37
story,37
donald,36
family,36
help,36
good,35
love,33
eclipse,32
former,32
future,31
music,31
rule,31
supreme,30
woman,30
concert,29
photo,28
live,27
