term,count
trump,360
school,189
bill,168
march,152
time,146
video,142
house,136
right,134
black,133
people,133
back,119
share,117
city,116
student,91
world,90
court,89
star,87
need,81
report,81
police,80
high,77
week,75
health,71
season,71
help,68
album,65
plan,65
tiktok,65
death,64
watch,64
women,62
work,61
climate,59
public,59
worker,59
biden,58
down,58
song,56
tour,55
million,54
american,53
donald,51
florida,51
change,50
john,48
life,48
park,46
york,46
spring,44
anti,43
review,43
bank,42
face,42
release,42
former,41
lawmaker,40
open,40
republican,39
manhattan,38
return,38
money,37
media,36
desanti,35
parent,35
future,34
live,34
woman,34
community,33
book,31
group,31
protest,31
iraq,30
talk,30
food,29
housing,28
story,28
strike,28
water,28
love,27
care,26
game,26
leader,26
history,25
