term,count
biden,601
bowl,408
super,404
trump,400
border,359
bill,347
county,263
school,252
report,215
house,210
watch,196
naturalnews.com,183
senate,180
court,178
police,162
city,150
high,146
time,140
colorado,128
american,119
chief,119
crash,116
back,113
video,109
arrested,107
biden',106
democrat,105
former,105
israel,105
illegal,104
republican,102
dead,99
fire,99
taylor,97
killed,95
kansa,90
special,90
down,89
basketball,88
tucker,88
interview,87
toby,87
plan,85
charge,84
putin,82
claim,78
election,78
abortion,77
president,76
shooting,76
million,75
game,74
right,74
vote,72
deal,71
death,71
february,69
people,69
woman,67
ballot,66
national,66
football,65
stock,64
help,63
star,62
swift,62
supreme,61
keith,60
record,59
week,59
leader,57
security,56
black,55
white,55
york,53
charged,51
south,51
florida,50
college,49
student,49
west,49
america,48
found,47
ukraine,46
family,43
attack,42
fall,41
carlson,40
country,37
lawmaker,36
life,36
child,35
counsel,34
crime,34
open,34
team,34
sale,33
hama,32
lead,32
poll,32
