term,count
biden,532
trump,502
county,261
school,258
bill,240
house,237
fire,216
senate,199
watch,196
city,188
border,187
court,175
police,172
down,161
naturalnews.com,159
republican,157
illegal,146
michigan,133
student,133
high,132
american,126
basketball,126
time,126
texa,119
report,110
democrat,108
stock,104
arrested,103
week,103
back,101
march,99
million,99
colorado,98
death,93
election,91
media,88
murder,86
plan,85
judge,84
primary,84
college,83
ukraine,79
israel,75
leader,75
record,74
video,72
west,72
girl,71
shooting,71
change,70
photo,69
vote,68
budget,66
game,64
health,61
president,61
claim,58
white,58
free,55
hama,54
supreme,54
woman,52
spring,48
voter,48
conference,47
donald,47
former,47
help,47
kansa,44
need,43
covid,42
family,42
program,42
florida,40
presidential,40
rule,40
football,39
history,39
right,39
america,38
mcconnell,37
season,37
support,37
charged,36
crash,36
haley,36
lawmaker,36
step,36
poll,35
fall,34
gaza,34
people,34
trial,34
