term,count
trump,495
biden,462
july,180
time,176
project,148
black,137
city,124
court,106
rally,106
house,104
share,104
right,102
democrat,98
album,95
week,95
summer,93
star,89
deal,88
president,87
shooting,87
heat,84
gaza,83
people,82
back,81
election,79
nato,79
open,75
report,69
record,67
power,66
america,65
school,64
campaign,62
ukraine,62
video,62
world,62
plan,61
change,60
health,60
media,60
donald,59
family,59
help,59
death,58
face,56
watch,56
game,55
million,54
need,54
down,53
leader,51
woman,51
russia,50
russian,50
former,49
republican,49
return,49
american,47
race,46
attempt,45
life,43
county,40
assassination,39
billion,36
history,36
abortion,34
supreme,34
attack,33
community,33
photo,33
music,32
police,31
team,31
official,30
canada,29
dead,29
national,29
release,29
talk,29
