term,count
hama,446
israel,413
house,305
biden,300
speaker,286
county,258
school,258
shooting,236
police,219
football,205
american,201
trump,199
watch,198
gaza,196
dead,187
johnson,186
week,179
student,175
down,173
maine,172
time,170
fire,165
mike,160
city,153
video,149
game,144
crash,142
attack,138
photo,119
halloween,117
high,116
woman,111
mass,109
israeli,107
report,107
anti,106
suspect,105
found,104
back,102
republican,102
court,96
death,96
arrested,94
people,93
former,92
support,92
west,91
nebraska,88
killed,83
help,81
official,75
season,75
florida,73
naturalnews.com,68
strike,68
charged,67
south,66
force,65
military,64
east,61
open,60
injured,58
kansa,57
family,56
media,54
breaking,52
event,52
candidate,50
life,50
shot,50
continue,49
democrat,49
abortion,48
election,48
murder,48
health,47
plan,46
north,45
university,45
terrorist,44
border,43
palestinian,43
team,41
jewish,40
president,40
troop,40
poll,39
china,38
free,38
issue,38
hospital,36
star,36
officer,35
college,34
community,34
fall,34
