term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,312,0.0624,309,0.0618,5000
trump,178,0.0356,177,0.0354,5000
2024,155,0.031,154,0.0308,5000
day,94,0.0188,94,0.0188,5000
world,87,0.0174,87,0.0174,5000
biden,83,0.0166,81,0.0162,5000
woman,81,0.0162,81,0.0162,5000
summer,80,0.016,80,0.016,5000
time,78,0.0156,78,0.0156,5000
people,78,0.0156,77,0.0154,5000
man,75,0.015,74,0.0148,5000
season,72,0.0144,71,0.0142,5000
israel,70,0.014,69,0.0138,5000
trial,69,0.0138,69,0.0138,5000
life,68,0.0136,67,0.0134,5000
june,64,0.0128,64,0.0128,5000
women,64,0.0128,63,0.0126,5000
star,63,0.0126,63,0.0126,5000
election,63,0.0126,62,0.0124,5000
gaza,61,0.0122,61,0.0122,5000
u.s.,61,0.0122,61,0.0122,5000
health,59,0.0118,59,0.0118,5000
open,57,0.0114,57,0.0114,5000
back,56,0.0112,54,0.0108,5000
set,56,0.0112,55,0.011,5000
week,55,0.011,55,0.011,5000
watch,55,0.011,54,0.0108,5000
video,54,0.0108,53,0.0106,5000
old,52,0.0104,50,0.01,5000
high,51,0.0102,50,0.01,5000
series,51,0.0102,48,0.0096,5000
president,50,0.01,50,0.01,5000
court,49,0.0098,49,0.0098,5000
donald,49,0.0098,49,0.0098,5000
review,48,0.0096,48,0.0096,5000
ai,48,0.0096,47,0.0094,5000
south,47,0.0094,47,0.0094,5000
so,46,0.0092,46,0.0092,5000
big,46,0.0092,46,0.0092,5000
bill,45,0.009,45,0.009,5000
war,45,0.009,45,0.009,5000
family,45,0.009,44,0.0088,5000
game,44,0.0088,44,0.0088,5000
former,43,0.0086,43,0.0086,5000
change,43,0.0086,43,0.0086,5000
dies,43,0.0086,43,0.0086,5000
free,43,0.0086,43,0.0086,5000
police,42,0.0084,42,0.0084,5000
china,42,0.0084,42,0.0084,5000
final,42,0.0084,42,0.0084,5000
death,42,0.0084,42,0.0084,5000
money,41,0.0082,41,0.0082,5000
deal,41,0.0082,41,0.0082,5000
school,41,0.0082,41,0.0082,5000
win,40,0.008,40,0.008,5000
down,39,0.0078,39,0.0078,5000
million,38,0.0076,38,0.0076,5000
national,38,0.0076,38,0.0076,5000
house,38,0.0076,38,0.0076,5000
work,38,0.0076,38,0.0076,5000
french,38,0.0076,38,0.0076,5000
climate,37,0.0074,36,0.0072,5000
music,37,0.0074,37,0.0074,5000
end,37,0.0074,37,0.0074,5000
texas,37,0.0074,36,0.0072,5000
city,36,0.0072,36,0.0072,5000
media,36,0.0072,36,0.0072,5000
festival,35,0.007,35,0.007,5000
children,35,0.007,35,0.007,5000
red,35,0.007,34,0.0068,5000
pride,35,0.007,35,0.007,5000
bad,34,0.0068,34,0.0068,5000
american,34,0.0068,33,0.0066,5000
israeli,34,0.0068,34,0.0068,5000
york,34,0.0068,34,0.0068,5000
officials,33,0.0066,33,0.0066,5000
real,33,0.0066,33,0.0066,5000
behind,33,0.0066,33,0.0066,5000
hit,33,0.0066,33,0.0066,5000
county,33,0.0066,32,0.0064,5000
good,33,0.0066,33,0.0066,5000
netflix,33,0.0066,33,0.0066,5000
india,33,0.0066,33,0.0066,5000
help,33,0.0066,33,0.0066,5000
film,32,0.0064,31,0.0062,5000
study,32,0.0064,32,0.0064,5000
africa,32,0.0064,32,0.0064,5000
reveals,32,0.0064,32,0.0064,5000
white,32,0.0064,32,0.0064,5000
power,32,0.0064,32,0.0064,5000
guilty,31,0.0062,31,0.0062,5000
tv,31,0.0062,31,0.0062,5000
live,30,0.006,30,0.006,5000
mexico,30,0.006,30,0.006,5000
nba,30,0.006,30,0.006,5000
broadway,30,0.006,29,0.0058,5000
black,30,0.006,29,0.0058,5000
takes,30,0.006,30,0.006,5000
history,29,0.0058,29,0.0058,5000
boys,29,0.0058,29,0.0058,5000
